ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5175,5038,62,75
2,Andhra Pradesh,921906,895949,7291,18666
3,Arunachal Pradesh,16878,16790,56,32
4,Assam,219958,215907,1117,2934
5,Bihar,279473,265870,1604,11999
6,Chandigarh,30341,26680,396,3265
7,Chhattisgarh,432776,342139,4777,85860
8,Dadra and Nagar Haveli and Daman and Diu,4014,3667,2,345
9,Delhi,714423,674415,11235,28773
10,Goa,61779,56964,846,3969
11,Gujarat,342026,312151,4746,25129
12,Haryana,313441,290736,3252,19453
13,Himachal Pradesh,69114,62776,1115,5223
14,Jammu and Kashmir,137475,128691,2029,6755
15,Jharkhand,137088,123603,1192,12293
16,Karnataka,1055040,980519,12849,61672
17,Kerala,1160204,1115342,4767,40095
18,Ladakh,10765,10023,131,611
19,Lakshadweep,794,733,1,60
20,Madhya Pradesh,332206,295339,4160,32707
21,Maharashtra,3343951,2748153,57638,538160
22,Manipur,29486,29010,375,101
23,Meghalaya,14246,13893,151,202
24,Mizoram,4612,4458,11,143
25,Nagaland,12400,12152,92,156
26,Odisha,348182,339603,1926,6653
27,Puducherry,43737,40830,689,2218
28,Punjab,269733,234270,7448,28015
29,Rajasthan,358688,327866,2916,27906
30,Sikkim,6351,6099,136,116
31,Tamil Nadu,926816,876257,12886,37673
32,Telangana,327278,305335,1759,20184
33,Tripura,33733,33104,393,236
34,Uttarakhand,107479,99486,1752,6241
35,Uttar Pradesh,676739,608853,9085,58801
36,West Bengal,610498,578742,10390,21366
