ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,295689,234217,529906
2,Andhra Pradesh,33876907,22921530,56798437
3,Arunachal Pradesh,783996,584402,1368398
4,Assam,20677119,10403591,31080710
5,Bihar,51989101,21818892,73807993
6,Chandigarh,933940,595125,1529065
7,Chhattisgarh,15546874,8469815,24016689
8,Dadra and Nagar Haveli and Daman and Diu,668653,412955,1081608
9,Delhi,13474373,8174937,21649310
10,Goa,1274409,989055,2263464
11,Gujarat,45288505,30975940,76264445
12,Haryana,18174437,9155873,27330310
13,Himachal Pradesh,5767729,4435520,10203249
14,Jammu and Kashmir,9566259,6502409,16068668
15,Jharkhand,15873337,6767607,22640944
16,Karnataka,43524628,26048257,69572885
17,Kerala,25556523,15987837,41544360
18,Ladakh,210549,163101,373650
19,Lakshadweep,55336,48290,103626
20,Madhya Pradesh,50520963,28367579,78888542
21,Maharashtra,70453185,35030240,105483425
22,Manipur,1267226,823332,2090558
23,Meghalaya,1139271,756324,1895595
24,Mizoram,723249,543041,1266290
25,Nagaland,721902,527665,1249567
26,Odisha,27120879,14094262,41215141
27,Puducherry,743317,434904,1178221
28,Punjab,16300511,6963183,23263694
29,Rajasthan,42999391,22100284,65099675
30,Sikkim,522764,464060,986824
31,Tamil Nadu,42879410,20843959,63723369
32,Telangana,24058805,11646380,35705185
33,Tripura,2528701,1903442,4432143
34,Uttarakhand,7531978,4532856,12064834
35,Uttar Pradesh,104132632,41342963,145475595
36,West Bengal,60902147,25395967,86298114
37,Miscellaneous,2237582,1567287,3804869
