ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,111969,15222,127191
2,Andhra Pradesh,8275784,2576273,10852057
3,Arunachal Pradesh,298065,78613,376678
4,Assam,3487964,850335,4338299
5,Bihar,9175179,1846826,11022005
6,Chandigarh,304610,75108,379718
7,Chhattisgarh,5947825,1132647,7080472
8,Dadra and Nagar Haveli and Daman and Diu,197387,26065,223452
9,Delhi,4381431,1285767,5667198
10,Goa,473993,96283,570276
11,Gujarat,14110492,4299370,18409862
12,Haryana,5219312,1019745,6239057
13,Himachal Pradesh,2090059,434203,2524262
14,Jammu and Kashmir,2908199,565694,3473893
15,Jharkhand,3802739,742801,4545540
16,Karnataka,12314441,2869463,15183904
17,Kerala,8096639,2160135,10256774
18,Ladakh,140358,37306,177664
19,Lakshadweep,32074,6971,39045
20,Madhya Pradesh,10917343,1835020,12752363
21,Maharashtra,19331541,4784458,24115999
22,Manipur,421435,70916,492351
23,Meghalaya,402277,74461,476738
24,Mizoram,272304,51215,323519
25,Nagaland,230387,52045,282432
26,Odisha,6785482,1505041,8290523
27,Puducherry,237177,51654,288831
28,Punjab,4499267,794838,5294105
29,Rajasthan,14491952,3229606,17721558
30,Sikkim,180005,59713,239718
31,Tamil Nadu,7960545,2095831,10056376
32,Telangana,5377158,1303149,6680307
33,Tripura,1128411,508061,1636472
34,Uttarakhand,2361977,687405,3049382
35,Uttar Pradesh,16625016,3628984,20254000
36,West Bengal,12198576,3942887,16141463
37,Miscellaneous,1725400,1477598,3202998
