ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,296217,246256,542473
2,Andhra Pradesh,34142598,23884664,58027262
3,Arunachal Pradesh,789389,598758,1388147
4,Assam,20919956,11234441,32154397
5,Bihar,53211248,24019166,77230414
6,Chandigarh,937224,611994,1549218
7,Chhattisgarh,15978988,8957538,24936526
8,Dadra and Nagar Haveli and Daman and Diu,672219,427653,1099872
9,Delhi,13667727,8490040,22157767
10,Goa,1278480,1010711,2289191
11,Gujarat,45551815,32914159,78465974
12,Haryana,18384978,9604345,27989323
13,Himachal Pradesh,5796244,4838122,10634366
14,Jammu and Kashmir,9583340,6813942,16397282
15,Jharkhand,16233985,7303728,23537713
16,Karnataka,44032756,27756186,71788942
17,Kerala,25611152,16567631,42178783
18,Ladakh,211275,167936,379211
19,Lakshadweep,55375,48761,104136
20,Madhya Pradesh,50853289,32405966,83259255
21,Maharashtra,72097836,37197154,109294990
22,Manipur,1273909,848599,2122508
23,Meghalaya,1155652,788313,1943965
24,Mizoram,727062,549342,1276404
25,Nagaland,730347,538354,1268701
26,Odisha,27482633,14847246,42329879
27,Puducherry,750678,450938,1201616
28,Punjab,16411428,7226838,23638266
29,Rajasthan,43197348,23206237,66403585
30,Sikkim,522961,466880,989841
31,Tamil Nadu,44090403,22703431,66793834
32,Telangana,24540841,12267904,36808745
33,Tripura,2537701,1972029,4509730
34,Uttarakhand,7554962,4788977,12343939
35,Uttar Pradesh,107935318,45553909,153489227
36,West Bengal,62215177,27297996,89513173
37,Miscellaneous,2237658,1568428,3806086
