ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,292802,183786,476588
2,Andhra Pradesh,31255396,17768254,49023650
3,Arunachal Pradesh,767391,502607,1269998
4,Assam,19819929,6939090,26759019
5,Bihar,48237641,15677672,63915313
6,Chandigarh,921059,518390,1439449
7,Chhattisgarh,14374496,6579342,20953838
8,Dadra and Nagar Haveli and Daman and Diu,656732,348786,1005518
9,Delhi,12845186,7063620,19908806
10,Goa,1251297,845692,2096989
11,Gujarat,44237401,23783196,68020597
12,Haryana,17543219,7592703,25135922
13,Himachal Pradesh,5696403,3150186,8846589
14,Jammu and Kashmir,9462229,4593908,14056137
15,Jharkhand,14574301,4986021,19560322
16,Karnataka,41518680,20650541,62169221
17,Kerala,25153284,12564537,37717821
18,Ladakh,208116,148436,356552
19,Lakshadweep,55048,44927,99975
20,Madhya Pradesh,49697121,18140141,67837262
21,Maharashtra,64926946,29070768,93997714
22,Manipur,1239478,624647,1864125
23,Meghalaya,1093173,586124,1679297
24,Mizoram,706638,497269,1203907
25,Nagaland,703555,459021,1162576
26,Odisha,24751590,10370098,35121688
27,Puducherry,723545,377521,1101066
28,Punjab,15651839,5924412,21576251
29,Rajasthan,42174091,18985436,61159527
30,Sikkim,520703,432345,953048
31,Tamil Nadu,39730927,14614839,54345766
32,Telangana,21107367,8467905,29575272
33,Tripura,2502782,1518769,4021551
34,Uttarakhand,7444669,3562557,11007226
35,Uttar Pradesh,94861551,28386542,123248093
36,West Bengal,50442830,18994656,69437486
37,Miscellaneous,2237389,1563032,3800421
