ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,297305,263854,561159
2,Andhra Pradesh,35664998,25486502,61151500
3,Arunachal Pradesh,796963,618046,1415009
4,Assam,21442583,12632396,34074979
5,Bihar,55182292,30096116,85278408
6,Chandigarh,946170,648788,1594958
7,Chhattisgarh,16727446,9937826,26665272
8,Dadra and Nagar Haveli and Daman and Diu,676735,447823,1124558
9,Delhi,14067989,9165753,23233742
10,Goa,1286728,1045156,2331884
11,Gujarat,45994116,36737585,82731701
12,Haryana,18726308,10508449,29234757
13,Himachal Pradesh,5837925,5389252,11227177
14,Jammu and Kashmir,9616854,7270183,16887037
15,Jharkhand,16823389,8263132,25086521
16,Karnataka,45581616,31449814,77031430
17,Kerala,25777959,18056569,43834528
18,Ladakh,212359,172436,384795
19,Lakshadweep,55464,49948,105412
20,Madhya Pradesh,51357321,38611197,89968518
21,Maharashtra,75816194,42457584,118273778
22,Manipur,1290216,902228,2192444
23,Meghalaya,1173246,824127,1997373
24,Mizoram,736910,564502,1301412
25,Nagaland,742154,553035,1295189
26,Odisha,28065882,16409255,44475137
27,Puducherry,780597,490411,1271008
28,Punjab,16648986,7892040,24541026
29,Rajasthan,43969819,26886244,70856063
30,Sikkim,523497,472113,995610
31,Tamil Nadu,46365452,26622634,72988086
32,Telangana,25468750,13380931,38849681
33,Tripura,2557801,2048599,4606400
34,Uttarakhand,7618659,5319816,12938475
35,Uttar Pradesh,114330212,52998348,167328560
36,West Bengal,63673144,30868964,94542108
37,Miscellaneous,2237713,1569657,3807370
