ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,223763,95987,319750
2,Andhra Pradesh,17974583,6363489,24338072
3,Arunachal Pradesh,698332,195573,893905
4,Assam,10920874,2336262,13257136
5,Bihar,24259346,4683508,28942854
6,Chandigarh,717457,234115,951572
7,Chhattisgarh,10078686,2717125,12795811
8,Dadra and Nagar Haveli and Daman and Diu,593183,84741,677924
9,Delhi,8086022,3151675,11237697
10,Goa,1104283,315907,1420190
11,Gujarat,29202560,9435671,38638231
12,Haryana,10277501,3060679,13338180
13,Himachal Pradesh,4598328,1458249,6056577
14,Jammu and Kashmir,5463241,1541583,7004824
15,Jharkhand,8639325,2079244,10718569
16,Karnataka,26266430,7663080,33929510
17,Kerala,16337734,6514254,22851988
18,Ladakh,189260,71671,260931
19,Lakshadweep,51543,17549,69092
20,Madhya Pradesh,30853541,5921981,36775522
21,Maharashtra,35554925,12383314,47938239
22,Manipur,1169861,261026,1430887
23,Meghalaya,959301,248117,1207418
24,Mizoram,658520,215259,873779
25,Nagaland,637206,165937,803143
26,Odisha,14584400,4352454,18936854
27,Puducherry,610058,154420,764478
28,Punjab,8370767,2395047,10765814
29,Rajasthan,27692302,8666775,36359077
30,Sikkim,499800,155283,655083
31,Tamil Nadu,21253260,4789216,26042476
32,Telangana,11822212,4081905,15904117
33,Tripura,2425207,817306,3242513
34,Uttarakhand,5338887,1672280,7011167
35,Uttar Pradesh,47516971,8822171,56339142
36,West Bengal,24098951,9279837,33378788
37,Miscellaneous,1900736,1550910,3451646
