ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,92417,10581,102998
2,Andhra Pradesh,4988520,1365533,6354053
3,Arunachal Pradesh,182172,52555,234727
4,Assam,1848344,502816,2351160
5,Bihar,5822440,1048471,6870911
6,Chandigarh,155687,46218,201905
7,Chhattisgarh,4823964,683619,5507583
8,Dadra and Nagar Haveli and Daman and Diu,78680,15468,94148
9,Delhi,2558207,666732,3224939
10,Goa,269799,70944,340743
11,Gujarat,9874554,2378124,12252678
12,Haryana,3177616,545954,3723570
13,Himachal Pradesh,1505390,237777,1743167
14,Jammu and Kashmir,1947275,364162,2311437
15,Jharkhand,2619359,463774,3083133
16,Karnataka,7940789,1459600,9400389
17,Kerala,6006406,1222823,7229229
18,Ladakh,74391,33014,107405
19,Lakshadweep,18576,4074,22650
20,Madhya Pradesh,7022410,1054584,8076994
21,Maharashtra,13360594,2510559,15871153
22,Manipur,168275,60069,228344
23,Meghalaya,216713,58387,275100
24,Mizoram,206116,44330,250446
25,Nagaland,155612,39817,195429
26,Odisha,4889676,889346,5779022
27,Puducherry,167670,26214,193884
28,Punjab,2896977,397024,3294001
29,Rajasthan,10745782,2191129,12936911
30,Sikkim,159827,40759,200586
31,Tamil Nadu,4590062,1255826,5845888
32,Telangana,4010945,602246,4613191
33,Tripura,882553,308069,1190622
34,Uttarakhand,1637791,395796,2033587
35,Uttar Pradesh,10126798,2228757,12355555
36,West Bengal,8596500,2185636,10782136
37,Miscellaneous,1668042,1297463,2965505
