ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,190153,85236,275389
2,Andhra Pradesh,14871913,4601809,19473722
3,Arunachal Pradesh,650132,156649,806781
4,Assam,7851373,1683402,9534775
5,Bihar,18386444,3329911,21716355
6,Chandigarh,569452,161939,731391
7,Chhattisgarh,9183532,2169304,11352836
8,Dadra and Nagar Haveli and Daman and Diu,526625,70567,597192
9,Delhi,7268264,2335433,9603697
10,Goa,1005102,238765,1243867
11,Gujarat,23752266,7272636,31024902
12,Haryana,8769778,2171924,10941702
13,Himachal Pradesh,3697712,1143545,4841257
14,Jammu and Kashmir,4646398,1088967,5735365
15,Jharkhand,7008369,1568872,8577241
16,Karnataka,22756318,5803394,28559712
17,Kerala,12585908,5390415,17976323
18,Ladakh,185654,63031,248685
19,Lakshadweep,49479,14079,63558
20,Madhya Pradesh,22489601,4369689,26859290
21,Maharashtra,31160321,9695962,40856283
22,Manipur,1010781,145103,1155884
23,Meghalaya,828446,158856,987302
24,Mizoram,626386,170442,796828
25,Nagaland,589807,134473,724280
26,Odisha,11694674,3550110,15244784
27,Puducherry,538161,136379,674540
28,Punjab,7417484,1686921,9104405
29,Rajasthan,23882968,6234866,30117834
30,Sikkim,481112,143887,624999
31,Tamil Nadu,17004414,3723525,20727939
32,Telangana,11038921,2804295,13843216
33,Tripura,2190422,731158,2921580
34,Uttarakhand,4195487,1303123,5498610
35,Uttar Pradesh,36710535,7103218,43813753
36,West Bengal,19262049,8079439,27341488
37,Miscellaneous,1743375,1541121,3284496
