ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,289147,150661,439808
2,Andhra Pradesh,26823104,13239125,40062229
3,Arunachal Pradesh,753757,403423,1157180
4,Assam,18338787,5460229,23799016
5,Bihar,43391149,10680410,54071559
6,Chandigarh,897312,441328,1338640
7,Chhattisgarh,12974099,5155958,18130057
8,Dadra and Nagar Haveli and Daman and Diu,644388,267739,912127
9,Delhi,11921965,5635787,17557752
10,Goa,1222366,680322,1902688
11,Gujarat,41715024,18639015,60354039
12,Haryana,16410426,6145233,22555659
13,Himachal Pradesh,5655422,2668787,8324209
14,Jammu and Kashmir,7791854,3425292,11217146
15,Jharkhand,13507050,4028528,17535578
16,Karnataka,38730476,16414252,55144728
17,Kerala,24610976,10761410,35372386
18,Ladakh,204333,135080,339413
19,Lakshadweep,54776,41093,95869
20,Madhya Pradesh,47890680,14749585,62640265
21,Maharashtra,56541838,23567637,80109475
22,Manipur,1221560,468375,1689935
23,Meghalaya,1069206,459479,1528685
24,Mizoram,695394,426710,1122104
25,Nagaland,684749,352747,1037496
26,Odisha,21802532,8210821,30013353
27,Puducherry,697291,306555,1003846
28,Punjab,14446728,4966852,19413580
29,Rajasthan,40135849,15199776,55335625
30,Sikkim,517794,379040,896834
31,Tamil Nadu,35714117,10932685,46646802
32,Telangana,18304448,6889840,25194288
33,Tripura,2493464,1353671,3847135
34,Uttarakhand,7343596,3080236,10423832
35,Uttar Pradesh,85114937,20101555,105216492
36,West Bengal,40350088,16421238,56771326
37,Miscellaneous,1902879,1559455,3462334
