ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,297052,260441,557493
2,Andhra Pradesh,35185295,25173786,60359081
3,Arunachal Pradesh,795880,614981,1410861
4,Assam,21287455,12322693,33610148
5,Bihar,54781228,28326238,83107466
6,Chandigarh,943618,639511,1583129
7,Chhattisgarh,16571643,9656683,26228326
8,Dadra and Nagar Haveli and Daman and Diu,675453,442627,1118080
9,Delhi,13965920,8997941,22963861
10,Goa,1284838,1038694,2323532
11,Gujarat,45903675,36039500,81943175
12,Haryana,18658504,10296661,28955165
13,Himachal Pradesh,5831567,5264674,11096241
14,Jammu and Kashmir,9609278,7159419,16768697
15,Jharkhand,16714399,8075536,24789935
16,Karnataka,45248720,30693675,75942395
17,Kerala,25730164,17687604,43417768
18,Ladakh,212205,171778,383983
19,Lakshadweep,55441,49661,105102
20,Madhya Pradesh,51266559,37534201,88800760
21,Maharashtra,75055019,41176462,116231481
22,Manipur,1286273,889593,2175866
23,Meghalaya,1170903,819284,1990187
24,Mizoram,735310,563429,1298739
25,Nagaland,740656,550992,1291648
26,Odisha,27967944,16102822,44070766
27,Puducherry,773689,482063,1255752
28,Punjab,16598407,7733657,24332064
29,Rajasthan,43677007,25557734,69234741
30,Sikkim,523346,471103,994449
31,Tamil Nadu,45694221,25389320,71083541
32,Telangana,25167782,13083465,38251247
33,Tripura,2555742,2037450,4593192
34,Uttarakhand,7601392,5202550,12803942
35,Uttar Pradesh,113350858,51647027,164997885
36,West Bengal,63485142,30142385,93627527
37,Miscellaneous,2237708,1569581,3807289
