ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,97202,13455,110657
2,Andhra Pradesh,5321023,1973448,7294471
3,Arunachal Pradesh,206638,69838,276476
4,Assam,2334686,656209,2990895
5,Bihar,6216512,1470862,7687374
6,Chandigarh,184636,62993,247629
7,Chhattisgarh,4931083,883731,5814814
8,Dadra and Nagar Haveli and Daman and Diu,82064,20770,102834
9,Delhi,3035798,861391,3897189
10,Goa,308443,83002,391445
11,Gujarat,10586908,3199277,13786185
12,Haryana,3554704,712044,4266748
13,Himachal Pradesh,1678113,359630,2037743
14,Jammu and Kashmir,2212016,480864,2692880
15,Jharkhand,2700008,569702,3269710
16,Karnataka,8469643,2018208,10487851
17,Kerala,6169344,1764559,7933903
18,Ladakh,82790,36486,119276
19,Lakshadweep,19955,5500,25455
20,Madhya Pradesh,7163413,1431775,8595188
21,Maharashtra,14542681,3316183,17858864
22,Manipur,262930,66875,329805
23,Meghalaya,274314,67895,342209
24,Mizoram,230871,46989,277860
25,Nagaland,171744,46344,218088
26,Odisha,5026362,1133636,6159998
27,Puducherry,175469,39978,215447
28,Punjab,3251966,584564,3836530
29,Rajasthan,11370196,2649328,14019524
30,Sikkim,163823,54363,218186
31,Tamil Nadu,4835514,1644773,6480287
32,Telangana,4373909,813954,5187863
33,Tripura,928883,464774,1393657
34,Uttarakhand,1745564,580745,2326309
35,Uttar Pradesh,10815768,2778193,13593961
36,West Bengal,8764229,3127188,11891417
37,Miscellaneous,1691342,1369593,3060935
