ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,98564,14245,112809
2,Andhra Pradesh,5330276,2043245,7373521
3,Arunachal Pradesh,212634,76499,289133
4,Assam,2499093,714213,3213306
5,Bihar,6638656,1628241,8266897
6,Chandigarh,195168,69769,264937
7,Chhattisgarh,4957168,984556,5941724
8,Dadra and Nagar Haveli and Daman and Diu,83082,22822,105904
9,Delhi,3277102,966756,4243858
10,Goa,320771,88926,409697
11,Gujarat,10860213,3715416,14575629
12,Haryana,3769135,839944,4609079
13,Himachal Pradesh,1708753,401731,2110484
14,Jammu and Kashmir,2251992,518548,2770540
15,Jharkhand,2741173,630878,3372051
16,Karnataka,8599750,2305369,10905119
17,Kerala,6227392,1927844,8155236
18,Ladakh,84923,37003,121926
19,Lakshadweep,20519,6448,26967
20,Madhya Pradesh,7273080,1585930,8859010
21,Maharashtra,15154480,3811996,18966476
22,Manipur,288458,69225,357683
23,Meghalaya,302280,72250,374530
24,Mizoram,235142,50405,285547
25,Nagaland,177837,50247,228084
26,Odisha,5098052,1350572,6448624
27,Puducherry,177642,45919,223561
28,Punjab,3389032,683655,4072687
29,Rajasthan,11793385,2898602,14691987
30,Sikkim,164479,57477,221956
31,Tamil Nadu,4937244,1801679,6738923
32,Telangana,4380920,1007437,5388357
33,Tripura,936558,498748,1435306
34,Uttarakhand,1841778,666114,2507892
35,Uttar Pradesh,11134848,3006688,14141536
36,West Bengal,8799321,3514495,12313816
37,Miscellaneous,1697480,1391984,3089464
