ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,288523,148108,436631
2,Andhra Pradesh,26331281,12825194,39156475
3,Arunachal Pradesh,751290,385774,1137064
4,Assam,18150848,5276754,23427602
5,Bihar,42944235,10436129,53380364
6,Chandigarh,892804,432190,1324994
7,Chhattisgarh,12864022,5035377,17899399
8,Dadra and Nagar Haveli and Daman and Diu,642337,256092,898429
9,Delhi,11749447,5421597,17171044
10,Goa,1217302,654581,1871883
11,Gujarat,41318268,18214246,59532514
12,Haryana,16273989,6026036,22300025
13,Himachal Pradesh,5646719,2580536,8227255
14,Jammu and Kashmir,7648256,3295466,10943722
15,Jharkhand,13347697,3929764,17277461
16,Karnataka,38531913,16088421,54620334
17,Kerala,24521633,10590340,35111973
18,Ladakh,203581,133410,336991
19,Lakshadweep,54728,40192,94920
20,Madhya Pradesh,47084580,14037105,61121685
21,Maharashtra,55543151,22783101,78326252
22,Manipur,1219634,451505,1671139
23,Meghalaya,1066267,444518,1510785
24,Mizoram,692897,413332,1106229
25,Nagaland,681792,336958,1018750
26,Odisha,21650844,8065779,29716623
27,Puducherry,690460,293671,984131
28,Punjab,14354368,4909368,19263736
29,Rajasthan,39960405,14949889,54910294
30,Sikkim,517083,366159,883242
31,Tamil Nadu,35449125,10700326,46149451
32,Telangana,17963636,6743032,24706668
33,Tripura,2491018,1304077,3795095
34,Uttarakhand,7324133,3016086,10340219
35,Uttar Pradesh,81608288,18701290,100309578
36,West Bengal,39636898,16097103,55734001
37,Miscellaneous,1902834,1559219,3462053
