ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,262193,108239,370432
2,Andhra Pradesh,22370089,8929757,31299846
3,Arunachal Pradesh,732281,258857,991138
4,Assam,15168976,3343223,18512199
5,Bihar,32919022,6621856,39540878
6,Chandigarh,827452,328720,1156172
7,Chhattisgarh,11062785,3469639,14532424
8,Dadra and Nagar Haveli and Daman and Diu,621727,159109,780836
9,Delhi,10043337,4060977,14104314
10,Goa,1176591,449889,1626480
11,Gujarat,36390999,12757581,49148580
12,Haryana,12727755,4391377,17119132
13,Himachal Pradesh,5543504,1816180,7359684
14,Jammu and Kashmir,6451281,1944438,8395719
15,Jharkhand,11028928,2842558,13871486
16,Karnataka,33749856,11250704,45000560
17,Kerala,21608979,8027122,29636101
18,Ladakh,195221,111021,306242
19,Lakshadweep,52921,26153,79074
20,Madhya Pradesh,39739421,8892629,48632050
21,Maharashtra,45687825,17263513,62951338
22,Manipur,1200546,361867,1562413
23,Meghalaya,1033993,320955,1354948
24,Mizoram,673147,245689,918836
25,Nagaland,659112,216175,875287
26,Odisha,17881661,5850492,23732153
27,Puducherry,649890,198590,848480
28,Punjab,11312390,3592191,14904581
29,Rajasthan,35269169,11536515,46805684
30,Sikkim,508026,184865,692891
31,Tamil Nadu,28071442,7028034,35099476
32,Telangana,13742158,4925838,18667996
33,Tripura,2465033,901147,3366180
34,Uttarakhand,6749628,2161566,8911194
35,Uttar Pradesh,64767451,12766680,77534131
36,West Bengal,31134891,12260296,43395187
37,Miscellaneous,1902117,1555523,3457640
