ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,210578,92157,302735
2,Andhra Pradesh,16571130,5733624,22304754
3,Arunachal Pradesh,676044,176747,852791
4,Assam,9152495,1988471,11140966
5,Bihar,20930091,3962583,24892674
6,Chandigarh,651891,200327,852218
7,Chhattisgarh,9676922,2377418,12054340
8,Dadra and Nagar Haveli and Daman and Diu,561632,75344,636976
9,Delhi,7482004,2716719,10198723
10,Goa,1066012,277150,1343162
11,Gujarat,25739258,8357628,34096886
12,Haryana,9544153,2603329,12147482
13,Himachal Pradesh,4010124,1291559,5301683
14,Jammu and Kashmir,5032466,1356910,6389376
15,Jharkhand,7937169,1857795,9794964
16,Karnataka,24598271,6817379,31415650
17,Kerala,14568350,6153842,20722192
18,Ladakh,187602,68136,255738
19,Lakshadweep,50484,16165,66649
20,Madhya Pradesh,27784785,5292287,33077072
21,Maharashtra,33651161,11354508,45005669
22,Manipur,1122272,212251,1334523
23,Meghalaya,898677,202890,1101567
24,Mizoram,644980,198165,843145
25,Nagaland,620929,151394,772323
26,Odisha,12874877,3960859,16835736
27,Puducherry,577932,146476,724408
28,Punjab,7851551,2050687,9902238
29,Rajasthan,25554988,7749393,33304381
30,Sikkim,493353,148823,642176
31,Tamil Nadu,19338030,4302608,23640638
32,Telangana,11391724,3569232,14960956
33,Tripura,2384038,788884,3172922
34,Uttarakhand,4626002,1464021,6090023
35,Uttar Pradesh,40960377,7865902,48826279
36,West Bengal,21459942,8789496,30249438
37,Miscellaneous,1744632,1546029,3290661
