ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,216053,94601,310654
2,Andhra Pradesh,17633289,6216600,23849889
3,Arunachal Pradesh,692532,186724,879256
4,Assam,10510804,2209605,12720409
5,Bihar,23366654,4488385,27855039
6,Chandigarh,700329,223569,923898
7,Chhattisgarh,9979765,2611797,12591562
8,Dadra and Nagar Haveli and Daman and Diu,584400,80828,665228
9,Delhi,7835664,3000596,10836260
10,Goa,1094394,302521,1396915
11,Gujarat,28113725,9054592,37168317
12,Haryana,10090001,2924714,13014715
13,Himachal Pradesh,4249932,1382642,5632574
14,Jammu and Kashmir,5325806,1491262,6817068
15,Jharkhand,8388534,1997186,10385720
16,Karnataka,25860894,7437119,33298013
17,Kerala,15672348,6427551,22099899
18,Ladakh,188699,70337,259036
19,Lakshadweep,51165,17170,68335
20,Madhya Pradesh,29752302,5736096,35488398
21,Maharashtra,35044144,12114068,47158212
22,Manipur,1159499,246753,1406252
23,Meghalaya,938984,232152,1171136
24,Mizoram,654946,206780,861726
25,Nagaland,632129,159436,791565
26,Odisha,13971009,4202596,18173605
27,Puducherry,601608,151744,753352
28,Punjab,8202118,2287403,10489521
29,Rajasthan,27017475,8377435,35394910
30,Sikkim,497851,151538,649389
31,Tamil Nadu,20857302,4689811,25547113
32,Telangana,11649833,3966309,15616142
33,Tripura,2411801,804137,3215938
34,Uttarakhand,5071246,1596762,6668008
35,Uttar Pradesh,45976210,8518342,54494552
36,West Bengal,23264439,9134008,32398447
37,Miscellaneous,1900173,1549042,3449215
