ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,288494,148044,436538
2,Andhra Pradesh,26240263,12755810,38996073
3,Arunachal Pradesh,751045,383577,1134622
4,Assam,18108928,5243412,23352340
5,Bihar,42784538,10358032,53142570
6,Chandigarh,891311,428679,1319990
7,Chhattisgarh,12832830,4990533,17823363
8,Dadra and Nagar Haveli and Daman and Diu,642216,255477,897693
9,Delhi,11739928,5409223,17149151
10,Goa,1215672,644827,1860499
11,Gujarat,41251330,18160764,59412094
12,Haryana,16219439,5982955,22202394
13,Himachal Pradesh,5646349,2576464,8222813
14,Jammu and Kashmir,7592040,3252355,10844395
15,Jharkhand,13265776,3879256,17145032
16,Karnataka,38516701,16065826,54582527
17,Kerala,24494078,10570799,35064877
18,Ladakh,203581,133410,336991
19,Lakshadweep,54687,40053,94740
20,Madhya Pradesh,46901620,13946321,60847941
21,Maharashtra,55412765,22690017,78102782
22,Manipur,1219483,450816,1670299
23,Meghalaya,1066150,444274,1510424
24,Mizoram,692643,413301,1105944
25,Nagaland,681468,334869,1016337
26,Odisha,21631807,8055219,29687026
27,Puducherry,689225,291020,980245
28,Punjab,14280942,4858030,19138972
29,Rajasthan,39956439,14945315,54901754
30,Sikkim,517068,365971,883039
31,Tamil Nadu,34320092,9832376,44152468
32,Telangana,17895086,6729407,24624493
33,Tripura,2490974,1303467,3794441
34,Uttarakhand,7319604,3000525,10320129
35,Uttar Pradesh,81602185,18687479,100289664
36,West Bengal,39511522,16063488,55575010
37,Miscellaneous,1902806,1559051,3461857
