ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,289999,154338,444337
2,Andhra Pradesh,27999256,14203868,42203124
3,Arunachal Pradesh,757153,426799,1183952
4,Assam,18871986,5922576,24794562
5,Bihar,45080931,12197163,57278094
6,Chandigarh,904205,457862,1362067
7,Chhattisgarh,13150946,5370749,18521695
8,Dadra and Nagar Haveli and Daman and Diu,646876,285133,932009
9,Delhi,12198840,6004092,18202932
10,Goa,1229753,718995,1948748
11,Gujarat,42188806,19205901,61394707
12,Haryana,16818438,6538046,23356484
13,Himachal Pradesh,5666027,2778365,8444392
14,Jammu and Kashmir,8131549,3645704,11777253
15,Jharkhand,13753816,4219355,17973171
16,Karnataka,39426250,17481551,56907801
17,Kerala,24747633,11119632,35867265
18,Ladakh,205555,138763,344318
19,Lakshadweep,54845,42091,96936
20,Madhya Pradesh,48601955,15326752,63928707
21,Maharashtra,58553667,24978414,83532081
22,Manipur,1225811,493071,1718882
23,Meghalaya,1073325,480878,1554203
24,Mizoram,697797,446502,1144299
25,Nagaland,688453,374533,1062986
26,Odisha,22471483,8736656,31208139
27,Puducherry,704677,323093,1027770
28,Punjab,14555719,5060276,19615995
29,Rajasthan,40652518,15960847,56613365
30,Sikkim,518698,394808,913506
31,Tamil Nadu,36259199,11438853,47698052
32,Telangana,19102459,7232051,26334510
33,Tripura,2496520,1410574,3907094
34,Uttarakhand,7373114,3186653,10559767
35,Uttar Pradesh,87504304,21648144,109152448
36,West Bengal,41772227,16934511,58706738
37,Miscellaneous,1902970,1559989,3462959
