ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,211569,92591,304160
2,Andhra Pradesh,16676939,5800487,22477426
3,Arunachal Pradesh,678343,178001,856344
4,Assam,9412807,2024421,11437228
5,Bihar,21003863,3998043,25001906
6,Chandigarh,659903,203429,863332
7,Chhattisgarh,9700054,2398202,12098256
8,Dadra and Nagar Haveli and Daman and Diu,565527,75705,641232
9,Delhi,7533336,2762066,10295402
10,Goa,1070429,279892,1350321
11,Gujarat,26001754,8432012,34433766
12,Haryana,9654335,2668016,12322351
13,Himachal Pradesh,4048894,1307623,5356517
14,Jammu and Kashmir,5073021,1380324,6453345
15,Jharkhand,7994584,1882306,9876890
16,Karnataka,24794539,6901931,31696470
17,Kerala,14805279,6204071,21009350
18,Ladakh,187750,68451,256201
19,Lakshadweep,50511,16256,66767
20,Madhya Pradesh,27866771,5303395,33170166
21,Maharashtra,33796696,11449384,45246080
22,Manipur,1128586,216777,1345363
23,Meghalaya,906139,207287,1113426
24,Mizoram,645846,198929,844775
25,Nagaland,623359,152765,776124
26,Odisha,13058068,4003379,17061447
27,Puducherry,581206,147273,728479
28,Punjab,7888965,2075548,9964513
29,Rajasthan,25765700,7864003,33629703
30,Sikkim,494090,149490,643580
31,Tamil Nadu,19560373,4356889,23917262
32,Telangana,11437302,3642994,15080296
33,Tripura,2389535,791715,3181250
34,Uttarakhand,4682678,1483173,6165851
35,Uttar Pradesh,43576972,8071927,51648899
36,West Bengal,21820114,8860725,30680839
37,Miscellaneous,1744760,1546493,3291253
