ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,289728,153214,442942
2,Andhra Pradesh,27390525,13706333,41096858
3,Arunachal Pradesh,755872,417765,1173637
4,Assam,18470750,5552229,24022979
5,Bihar,43549451,10803062,54352513
6,Chandigarh,900985,449059,1350044
7,Chhattisgarh,13084430,5279100,18363530
8,Dadra and Nagar Haveli and Daman and Diu,645819,276491,922310
9,Delhi,12068732,5810576,17879308
10,Goa,1225782,698900,1924682
11,Gujarat,42022310,19003089,61025399
12,Haryana,16607328,6324180,22931508
13,Himachal Pradesh,5661779,2731107,8392886
14,Jammu and Kashmir,7939446,3540782,11480228
15,Jharkhand,13617294,4106235,17723529
16,Karnataka,39259907,17177792,56437699
17,Kerala,24695552,10943387,35638939
18,Ladakh,205284,137943,343227
19,Lakshadweep,54818,41585,96403
20,Madhya Pradesh,48428086,15188410,63616496
21,Maharashtra,57633028,24261937,81894965
22,Manipur,1223626,479279,1702905
23,Meghalaya,1071622,471712,1543334
24,Mizoram,696934,441294,1138228
25,Nagaland,686908,366785,1053693
26,Odisha,22233216,8525160,30758376
27,Puducherry,701630,315709,1017339
28,Punjab,14513164,5025021,19538185
29,Rajasthan,40435571,15640723,56076294
30,Sikkim,518477,390253,908730
31,Tamil Nadu,36011832,11195278,47207110
32,Telangana,18649783,7048629,25698412
33,Tripura,2495235,1387737,3882972
34,Uttarakhand,7360564,3139340,10499904
35,Uttar Pradesh,86138105,20706553,106844658
36,West Bengal,41082569,16682732,57765301
37,Miscellaneous,1902903,1559581,3462484
