date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,[454],[513],[509],[703]
20200426,[494],[496],[537],[660]
20200427,[523],[537],[573],[668]
20200428,[546],[631],[590],[678]
20200429,[565],[630],[625],[686]
20200430,[581],[678],[686],[737]
20200501,[614],[667],[715],[778]
20200502,[639],[669],[717],[780]
20200503,[666],[759],[738],[814]
20200504,[701],[699],[806],[891]
20200505,[726],[779],[786],[896]
20200506,[741],[793],[815],[911]
20200507,[775],[836],[834],[925]
20200508,[793],[896],[900],[969]
20200509,[823],[905],[935],[995]
20200510,[836],[954],[929],[957]
20200511,[861],[901],[951],[1024]
20200512,[879],[927],[976],[1070]
20200513,[934],[978],[981],[1079]
20200514,[971],[1052],[995],[1128]
20200515,[983],[1055],[1023],[1126]
20200516,[1013],[1090],[1075],[1184]
20200517,[1121],[1113],[1127],[1183]
20200518,[1183],[1234],[1215],[1206]
20200519,[1289],[1358],[1198],[1279]
20200520,[1317],[1459],[1354],[1312]
20200521,[1390],[1487],[1434],[1364]
20200522,[1449],[1473],[1528],[1437]
20200523,[1489],[1560],[1616],[1480]
20200524,[1569],[1604],[1599],[1623]
20200525,[1621],[1697],[1704],[1704]
20200526,[1668],[1774],[1823],[1825]
20200527,[1759],[1794],[1823],[1928]
20200528,[1921],[1954],[1914],[1991]
20200529,[2036],[2053],[1926],[2065]
20200530,[2164],[2202],[2007],[2226]
20200531,[2341],[2399],[2220],[2167]
