ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,6984,6683,114,187
2,Andhra Pradesh,1685142,1508515,10832,165795
3,Arunachal Pradesh,26950,23052,115,3783
4,Assam,406868,349773,3300,53795
5,Bihar,705648,682166,5104,18378
6,Chandigarh,59922,57043,745,2134
7,Chhattisgarh,969300,917023,13016,39261
8,Dadra and Nagar Haveli and Daman and Diu,10256,9913,4,339
9,Delhi,1425592,1389341,24151,12100
10,Goa,155064,138429,2625,14010
11,Gujarat,807488,762270,9815,35403
12,Haryana,755389,726081,8221,21087
13,Himachal Pradesh,189465,171398,3127,14940
14,Jammu and Kashmir,288940,247393,3870,37677
15,Jharkhand,336943,322060,4977,9906
16,Karnataka,2587827,2217117,28679,342031
17,Kerala,2514279,2281518,8641,224120
18,Ladakh,18497,16754,188,1555
19,Lakshadweep,7928,5890,32,2006
20,Madhya Pradesh,778825,743550,8019,27256
21,Maharashtra,5731815,5362370,94844,274601
22,Manipur,49882,40607,793,8482
23,Meghalaya,35190,27130,564,7496
24,Mizoram,12087,9015,38,3034
25,Nagaland,21563,16151,363,5049
26,Odisha,756684,670527,2719,83438
27,Puducherry,103826,90141,1518,12167
28,Punjab,565415,511720,14432,39263
29,Rajasthan,938460,880919,8317,49224
30,Sikkim,15171,10960,250,3961
31,Tamil Nadu,2068580,1739280,23754,305546
32,Telangana,575827,537522,3263,35042
33,Tripura,51133,44063,513,6557
34,Uttarakhand,328338,291580,6401,30357
35,Uttar Pradesh,1690016,1628456,20346,41214
36,West Bengal,1366240,1255932,15410,94898
