ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7168,6952,125,91
2,Andhra Pradesh,1779773,1664082,11696,103995
3,Arunachal Pradesh,30247,26848,128,3271
4,Assam,446445,392806,3793,49846
5,Bihar,715179,701234,9429,4516
6,Chandigarh,60862,59432,781,649
7,Chhattisgarh,983916,952532,13271,18113
8,Dadra and Nagar Haveli and Daman and Diu,10437,10296,4,137
9,Delhi,1430128,1400913,24704,4511
10,Goa,160740,152073,2877,5790
11,Gujarat,818351,794703,9965,13683
12,Haryana,764094,748186,8829,7079
13,Himachal Pradesh,196905,186880,3343,6682
14,Jammu and Kashmir,303749,279779,4118,19852
15,Jharkhand,342481,332622,5076,4783
16,Karnataka,2728248,2480411,32291,215546
17,Kerala,2674166,2524248,10437,139481
18,Ladakh,19385,18265,195,925
19,Lakshadweep,9002,8173,42,787
20,Madhya Pradesh,786755,771243,8441,7071
21,Maharashtra,5863880,5597304,101833,164743
22,Manipur,57351,47129,915,9307
23,Meghalaya,39983,34440,694,4849
24,Mizoram,14534,10891,58,3585
25,Nagaland,23237,18909,435,3893
26,Odisha,831129,764673,3123,63333
27,Puducherry,110748,102247,1648,6853
28,Punjab,583474,550837,15293,17344
29,Rajasthan,948024,927443,8749,11832
30,Sikkim,17656,13511,276,3869
31,Tamil Nadu,2292025,2059597,28170,204258
32,Telangana,596813,569086,3426,24301
33,Tripura,57452,50803,591,6058
34,Uttarakhand,335478,319371,6849,9258
35,Uttar Pradesh,1700476,1666001,21516,12959
36,West Bengal,1442830,1411573,16555,14702
