ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10612,10473,129,10
2,Andhra Pradesh,2337156,2321850,14733,573
3,Arunachal Pradesh,66708,66363,296,49
4,Assam,744692,733759,8032,2901
5,Bihar,848649,835637,12295,717
6,Chandigarh,98899,97500,1181,218
7,Chhattisgarh,1174113,1159254,14114,745
8,Dadra and Nagar Haveli and Daman and Diu,11578,11571,4,3
9,Delhi,2000423,1972654,26477,1292
10,Goa,256409,251885,3963,561
11,Gujarat,1270879,1258453,11016,1410
12,Haryana,1052730,1040972,10686,1072
13,Himachal Pradesh,311266,306404,4202,660
14,Jammu and Kashmir,478220,472472,4782,966
15,Jharkhand,442019,436552,5330,137
16,Karnataka,4054146,4008698,40245,5203
17,Kerala,6760118,6679373,70850,9895
18,Ladakh,29241,28968,230,43
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1053592,1042500,10770,322
21,Maharashtra,8103649,7946694,148261,8694
22,Manipur,139731,137528,2147,56
23,Meghalaya,96477,94780,1618,79
24,Mizoram,237324,236196,722,406
25,Nagaland,35926,35128,779,19
26,Odisha,1328244,1317492,9179,1573
27,Puducherry,172981,170734,1969,278
28,Punjab,780769,762094,17903,772
29,Rajasthan,1309640,1297879,9628,2133
30,Sikkim,43785,43181,491,113
31,Tamil Nadu,3570097,3527027,38036,5034
32,Telangana,834965,829665,4111,1189
33,Tripura,107734,106773,938,23
34,Uttarakhand,448510,439463,7740,1307
35,Uttar Pradesh,2123553,2098128,23610,1815
36,West Bengal,2107707,2083967,21472,2268
