ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10488,10319,129,40
2,Andhra Pradesh,2333437,2317034,14733,1670
3,Arunachal Pradesh,66196,65552,296,348
4,Assam,741502,729054,8022,4426
5,Bihar,844676,831371,12285,1020
6,Chandigarh,97244,95242,1171,831
7,Chhattisgarh,1168930,1151480,14079,3371
8,Dadra and Nagar Haveli and Daman and Diu,11553,11524,4,25
9,Delhi,1967104,1933427,26328,7349
10,Goa,252948,248100,3855,993
11,Gujarat,1260493,1243489,10975,6029
12,Haryana,1035111,1019967,10647,4497
13,Himachal Pradesh,304436,295181,4174,5081
14,Jammu and Kashmir,469041,459004,4776,5261
15,Jharkhand,440872,434606,5328,938
16,Karnataka,4018250,3966739,40156,11355
17,Kerala,6728697,6647037,70557,11103
18,Ladakh,28983,28645,228,110
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1051094,1038941,10760,1393
21,Maharashtra,8057920,7897907,148138,11875
22,Manipur,139328,136916,2136,276
23,Meghalaya,95867,93551,1610,706
24,Mizoram,234080,232083,711,1286
25,Nagaland,35835,34998,772,65
26,Odisha,1318145,1302941,9146,6058
27,Puducherry,171569,168875,1967,727
28,Punjab,776664,747101,17828,11735
29,Rajasthan,1296662,1284057,9589,3016
30,Sikkim,42674,41641,474,559
31,Tamil Nadu,3551641,3503347,38033,10261
32,Telangana,825360,815030,4111,6219
33,Tripura,107319,105604,935,780
34,Uttarakhand,444805,434501,7717,2587
35,Uttar Pradesh,2106976,2078790,23574,4612
36,West Bengal,2098417,2068693,21393,8331
