ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10464,10300,129,35
2,Andhra Pradesh,2332993,2316385,14733,1875
3,Arunachal Pradesh,66106,65421,296,389
4,Assam,740886,728119,8022,4745
5,Bihar,844239,830894,12284,1061
6,Chandigarh,97009,94937,1171,901
7,Chhattisgarh,1168002,1150421,14072,3509
8,Dadra and Nagar Haveli and Daman and Diu,11542,11521,4,17
9,Delhi,1962374,1929874,26325,6175
10,Goa,252648,247863,3855,930
11,Gujarat,1258581,1241363,10972,6246
12,Haryana,1033149,1018803,10646,3700
13,Himachal Pradesh,302970,293399,4171,5400
14,Jammu and Kashmir,467422,457657,4774,4991
15,Jharkhand,440557,434219,5327,1011
16,Karnataka,4014514,3963294,40153,11067
17,Kerala,6726281,6643401,70536,12344
18,Ladakh,28944,28633,228,83
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1050675,1038454,10757,1464
21,Maharashtra,8053965,7893764,148124,12077
22,Manipur,139249,136713,2133,403
23,Meghalaya,95719,93420,1608,691
24,Mizoram,233751,231715,711,1325
25,Nagaland,35822,34976,771,75
26,Odisha,1316473,1301930,9144,5399
27,Puducherry,171402,168604,1967,831
28,Punjab,775785,747101,17826,10858
29,Rajasthan,1295631,1283713,9587,2331
30,Sikkim,42494,41329,473,692
31,Tamil Nadu,3549406,3500386,38033,10987
32,Telangana,823724,813256,4111,6357
33,Tripura,107127,105160,932,1035
34,Uttarakhand,444180,434052,7716,2412
35,Uttar Pradesh,2105193,2077620,23573,4000
36,West Bengal,2096896,2065564,21384,9948
