ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10024,9888,129,7
2,Andhra Pradesh,2318417,2302625,14729,1063
3,Arunachal Pradesh,64466,64105,296,65
4,Assam,724161,716098,6639,1424
5,Bihar,830273,817829,12255,189
6,Chandigarh,91803,90567,1165,71
7,Chhattisgarh,1151486,1136735,14032,719
8,Dadra and Nagar Haveli and Daman and Diu,11440,11434,4,2
9,Delhi,1861712,1834317,26134,1261
10,Goa,245123,241154,3827,142
11,Gujarat,1223262,1211413,10935,914
12,Haryana,983018,971229,10571,1218
13,Himachal Pradesh,283693,279059,4123,511
14,Jammu and Kashmir,453245,448139,4749,357
15,Jharkhand,434552,429004,5315,233
16,Karnataka,3942575,3899298,39991,3286
17,Kerala,6512089,6430941,66180,14968
18,Ladakh,28119,27772,228,119
19,Lakshadweep,11400,11348,52,0
20,Madhya Pradesh,1040055,1028007,10733,1315
21,Maharashtra,7868813,7717362,143740,7711
22,Manipur,136898,134535,2115,248
23,Meghalaya,93597,91869,1585,143
24,Mizoram,217834,212647,663,4524
25,Nagaland,35420,34605,757,58
26,Odisha,1285889,1275542,9101,1246
27,Puducherry,165745,163744,1962,39
28,Punjab,758453,740350,17720,383
29,Rajasthan,1281327,1269033,9543,2751
30,Sikkim,39090,38609,443,38
31,Tamil Nadu,3451013,3410228,38015,2770
32,Telangana,789758,783937,4111,1710
33,Tripura,100869,99940,919,10
34,Uttarakhand,436708,428185,7686,837
35,Uttar Pradesh,2069126,2043518,23475,2133
36,West Bengal,2015862,1993029,21180,1653
