ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10016,9872,129,15
2,Andhra Pradesh,2317464,2298033,14722,4709
3,Arunachal Pradesh,64402,63928,296,178
4,Assam,724088,715840,6638,1610
5,Bihar,829953,817349,12255,349
6,Chandigarh,91687,90356,1164,167
7,Chhattisgarh,1150539,1134554,14024,1961
8,Dadra and Nagar Haveli and Daman and Diu,11438,11433,4,1
9,Delhi,1858614,1830412,26117,2085
10,Goa,244938,240791,3800,347
11,Gujarat,1222119,1208657,10924,2538
12,Haryana,980759,967898,10551,2310
13,Himachal Pradesh,283073,277637,4114,1322
14,Jammu and Kashmir,452817,447074,4748,995
15,Jharkhand,434271,428436,5315,520
16,Karnataka,3939915,3892459,39900,7556
17,Kerala,6491418,6388398,64980,38040
18,Ladakh,27971,27513,228,230
19,Lakshadweep,11397,11331,52,14
20,Madhya Pradesh,1037696,1022161,10726,4809
21,Maharashtra,7863623,7707254,143687,12682
22,Manipur,136690,134046,2108,536
23,Meghalaya,93413,91627,1575,211
24,Mizoram,212217,203456,655,8106
25,Nagaland,35395,34502,754,139
26,Odisha,1284323,1272428,9052,2843
27,Puducherry,165690,163528,1960,202
28,Punjab,757859,739310,17701,848
29,Rajasthan,1278355,1263081,9535,5739
30,Sikkim,39060,38540,442,78
31,Tamil Nadu,3448088,3401938,38000,8150
32,Telangana,788383,780462,4111,3810
33,Tripura,100859,99898,919,42
34,Uttarakhand,435912,425891,7679,2342
35,Uttar Pradesh,2066835,2038979,23447,4409
36,West Bengal,2014567,1991410,21169,1988
