ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10563,10388,129,46
2,Andhra Pradesh,2335791,2319961,14733,1097
3,Arunachal Pradesh,66548,66123,296,129
4,Assam,743432,732469,8028,2935
5,Bihar,846632,833606,12290,736
6,Chandigarh,98358,96712,1177,469
7,Chhattisgarh,1172157,1156545,14099,1513
8,Dadra and Nagar Haveli and Daman and Diu,11569,11561,4,4
9,Delhi,1992881,1960902,26420,5559
10,Goa,254859,249970,3857,1032
11,Gujarat,1267550,1253998,10999,2553
12,Haryana,1047194,1032823,10662,3709
13,Himachal Pradesh,309301,303236,4189,1876
14,Jammu and Kashmir,475768,468079,4779,2910
15,Jharkhand,441653,435953,5330,370
16,Karnataka,4040111,3989451,40208,10452
17,Kerala,6743298,6664821,70703,7774
18,Ladakh,29143,28845,229,69
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1052794,1041328,10765,701
21,Maharashtra,8082551,7922492,148193,11866
22,Manipur,139599,137360,2143,96
23,Meghalaya,96305,94327,1615,363
24,Mizoram,236050,234558,717,775
25,Nagaland,35888,35092,776,20
26,Odisha,1324774,1312901,9162,2711
27,Puducherry,172372,170109,1967,296
28,Punjab,781028,747101,17875,16052
29,Rajasthan,1304728,1290809,9606,4313
30,Sikkim,43333,42618,483,232
31,Tamil Nadu,3562719,3518599,38033,6087
32,Telangana,831622,824800,4111,2711
33,Tripura,107672,106636,938,98
34,Uttarakhand,447180,437778,7734,1668
35,Uttar Pradesh,2118132,2089963,23593,4576
36,West Bengal,2104459,2078941,21437,4081
