ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7728,7585,129,14
2,Andhra Pradesh,2077145,2061496,14495,1154
3,Arunachal Pradesh,55343,55040,282,21
4,Assam,620765,612383,6164,2218
5,Bihar,726896,714311,12096,489
6,Chandigarh,65895,64646,1079,170
7,Chhattisgarh,1008187,993818,13600,769
8,Dadra and Nagar Haveli and Daman and Diu,10692,10687,4,1
9,Delhi,1448211,1418694,25107,4410
10,Goa,180872,176304,3522,1046
11,Gujarat,831732,818652,10118,2962
12,Haryana,773788,762284,10064,1440
13,Himachal Pradesh,228857,224515,3876,466
14,Jammu and Kashmir,341290,335425,4528,1337
15,Jharkhand,351739,344593,5144,2002
16,Karnataka,3007337,2960261,38335,8741
17,Kerala,5247177,5179277,47794,20106
18,Ladakh,22184,21781,219,184
19,Lakshadweep,10416,10362,51,3
20,Madhya Pradesh,793965,783025,10533,407
21,Maharashtra,6678821,6509096,141526,28199
22,Manipur,125788,123587,2002,199
23,Meghalaya,84827,83276,1484,67
24,Mizoram,141665,139386,544,1735
25,Nagaland,32201,31436,702,63
26,Odisha,1054834,1044803,8460,1571
27,Puducherry,129478,127470,1881,127
28,Punjab,604810,587398,16645,767
29,Rajasthan,956227,946300,8964,963
30,Sikkim,32503,32042,409,52
31,Tamil Nadu,2748045,2703799,36776,7470
32,Telangana,681898,674221,4027,3650
33,Tripura,85086,84153,829,104
34,Uttarakhand,345087,337367,7418,302
35,Uttar Pradesh,1711605,1687828,22915,862
36,West Bengal,1638485,1608011,19764,10710
