ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7632,7492,129,11
2,Andhra Pradesh,2056628,2034244,14250,8134
3,Arunachal Pradesh,54881,54316,280,285
4,Assam,604809,594851,5921,4037
5,Bihar,725987,716289,9661,37
6,Chandigarh,65277,64415,820,42
7,Chhattisgarh,1005511,991726,13570,215
8,Dadra and Nagar Haveli and Daman and Diu,10672,10666,4,2
9,Delhi,1439166,1413701,25088,377
10,Goa,177040,172981,3326,733
11,Gujarat,826123,815855,10086,182
12,Haryana,770984,760828,9875,281
13,Himachal Pradesh,220392,215322,3699,1371
14,Jammu and Kashmir,330434,324908,4426,1100
15,Jharkhand,348343,343100,5135,108
16,Karnataka,2980621,2932322,37875,10424
17,Kerala,4784109,4644211,26173,113725
18,Ladakh,20849,20586,208,55
19,Lakshadweep,10365,10311,51,3
20,Madhya Pradesh,792614,781984,10523,107
21,Maharashtra,6575578,6399464,139514,36600
22,Manipur,121853,118255,1882,1716
23,Meghalaya,82364,79724,1417,1223
24,Mizoram,105829,89847,347,15635
25,Nagaland,31441,30493,671,277
26,Odisha,1031044,1018311,8242,4491
27,Puducherry,126977,124494,1846,637
28,Punjab,601849,585089,16529,231
29,Rajasthan,954355,945366,8954,35
30,Sikkim,31654,30988,388,278
31,Tamil Nadu,2676936,2624916,35768,16252
32,Telangana,667725,659508,3929,4288
33,Tripura,84256,83306,816,134
34,Uttarakhand,343662,336093,7396,173
35,Uttar Pradesh,1709938,1686904,22896,138
36,West Bengal,1575577,1549049,18894,7634
