ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7243,6996,126,121
2,Andhra Pradesh,1803074,1699775,11882,91417
3,Arunachal Pradesh,31148,27818,143,3187
4,Assam,457330,408770,3915,44645
5,Bihar,716728,701543,9484,5701
6,Chandigarh,61056,59727,789,540
7,Chhattisgarh,986504,958111,13311,15082
8,Dadra and Nagar Haveli and Daman and Diu,10462,10363,4,95
9,Delhi,1430884,1402474,24800,3610
10,Goa,162048,154077,2914,5057
11,Gujarat,819866,799012,9991,10863
12,Haryana,765522,751387,8949,5186
13,Himachal Pradesh,198313,189527,3384,5402
14,Jammu and Kashmir,306638,286180,4174,16284
15,Jharkhand,343304,334256,5082,3966
16,Karnataka,2757324,2532719,32788,191817
17,Kerala,2716655,2575769,10975,129911
18,Ladakh,19544,18601,197,746
19,Lakshadweep,9175,8517,43,615
20,Madhya Pradesh,787909,774600,8534,4775
21,Maharashtra,5898550,5631767,108333,158450
22,Manipur,59322,49653,959,8710
23,Meghalaya,41601,36003,727,4871
24,Mizoram,15267,11545,62,3660
25,Nagaland,23562,19481,448,3633
26,Odisha,847313,789066,3257,54990
27,Puducherry,112126,104704,1677,5745
28,Punjab,586947,557380,15503,14064
29,Rajasthan,949376,932161,8815,8400
30,Sikkim,18257,14193,281,3783
31,Tamil Nadu,2339705,2148352,29280,162073
32,Telangana,602089,576487,3469,22133
33,Tripura,59086,52921,613,5552
34,Uttarakhand,336616,324667,6928,5021
35,Uttar Pradesh,1702172,1670631,21735,9806
36,West Bengal,1457273,1424213,16812,16248
