ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10053,9918,129,6
2,Andhra Pradesh,2320060,2305224,14731,105
3,Arunachal Pradesh,64509,64212,296,1
4,Assam,724243,716246,7986,11
5,Bihar,830880,818546,12256,78
6,Chandigarh,92617,91316,1165,136
7,Chhattisgarh,1152566,1138442,14035,89
8,Dadra and Nagar Haveli and Daman and Diu,11441,11437,4,0
9,Delhi,1910613,1882623,26216,1774
10,Goa,246259,242026,3832,401
11,Gujarat,1225815,1214354,10944,517
12,Haryana,1004621,992830,10621,1170
13,Himachal Pradesh,285203,280937,4136,130
14,Jammu and Kashmir,454314,449494,4752,68
15,Jharkhand,435397,430030,5319,48
16,Karnataka,3954784,3911796,40108,2880
17,Kerala,6571251,6489234,69824,12193
18,Ladakh,28276,28041,228,7
19,Lakshadweep,11402,11350,52,0
20,Madhya Pradesh,1042928,1031915,10737,276
21,Maharashtra,7901628,7742190,147867,11571
22,Manipur,137242,135121,2120,1
23,Meghalaya,93827,92233,1593,1
24,Mizoram,228512,227671,700,141
25,Nagaland,35498,34736,761,1
26,Odisha,1288576,1279281,9126,169
27,Puducherry,165914,163917,1962,35
28,Punjab,760548,742637,17754,157
29,Rajasthan,1286259,1276289,9559,411
30,Sikkim,39175,38713,453,9
31,Tamil Nadu,3456697,3417595,38025,1077
32,Telangana,794029,789107,4111,811
33,Tripura,100889,99964,923,2
34,Uttarakhand,438044,429815,7693,536
35,Uttar Pradesh,2081109,2056647,23524,938
36,West Bengal,2019927,1998205,21205,517
