ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7280,7049,126,105
2,Andhra Pradesh,1820134,1732948,12052,75134
3,Arunachal Pradesh,31938,28934,155,2849
4,Assam,466590,421378,4028,41184
5,Bihar,717949,704075,9514,4360
6,Chandigarh,61200,59917,797,486
7,Chhattisgarh,988172,963113,13342,11717
8,Dadra and Nagar Haveli and Daman and Diu,10473,10408,4,61
9,Delhi,1431498,1403569,24851,3078
10,Goa,163048,155926,2947,4175
11,Gujarat,821078,802187,10007,8884
12,Haryana,766357,753584,9070,3703
13,Himachal Pradesh,199197,191737,3410,4050
14,Jammu and Kashmir,308726,292114,4205,12407
15,Jharkhand,343793,336058,5089,2646
16,Karnataka,2777010,2581559,33148,162303
17,Kerala,2748204,2623904,11508,112792
18,Ladakh,19649,18898,199,552
19,Lakshadweep,9297,8768,45,484
20,Madhya Pradesh,788649,776424,8615,3610
21,Maharashtra,5924773,5669179,114154,141440
22,Manipur,61096,51354,998,8744
23,Meghalaya,42759,37579,750,4430
24,Mizoram,15899,12191,71,3637
25,Nagaland,23854,20423,459,2972
26,Odisha,859526,811780,3388,44358
27,Puducherry,113192,106828,1696,4668
28,Punjab,589153,562701,15650,10802
29,Rajasthan,950133,935658,8856,5619
30,Sikkim,18659,15136,284,3239
31,Tamil Nadu,2378298,2223015,30068,125215
32,Telangana,606436,582993,3510,19933
33,Tripura,60385,54870,629,4886
34,Uttarakhand,337449,326822,6985,3642
35,Uttar Pradesh,1703207,1674072,21914,7221
36,West Bengal,1468044,1430949,17049,20046
