ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7665,7527,129,9
2,Andhra Pradesh,2069066,2051440,14406,3220
3,Arunachal Pradesh,55202,54875,280,47
4,Assam,613061,603747,6035,3279
5,Bihar,726144,716446,9661,37
6,Chandigarh,65373,64531,820,22
7,Chhattisgarh,1006245,992435,13587,223
8,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,0
9,Delhi,1440230,1414751,25091,388
10,Goa,178399,174734,3371,294
11,Gujarat,826826,816521,10090,215
12,Haryana,771368,761200,10050,118
13,Himachal Pradesh,225319,220368,3790,1161
14,Jammu and Kashmir,333490,327812,4448,1230
15,Jharkhand,348948,343660,5138,150
16,Karnataka,2990856,2944669,38131,8056
17,Kerala,5034858,4929153,34621,71084
18,Ladakh,21087,20749,209,129
19,Lakshadweep,10365,10314,51,0
20,Madhya Pradesh,792924,782319,10524,81
21,Maharashtra,6620423,6463932,140447,16044
22,Manipur,124250,121586,1940,724
23,Meghalaya,83942,82163,1461,318
24,Mizoram,126917,120522,456,5939
25,Nagaland,31960,31096,692,172
26,Odisha,1044428,1033344,8368,2716
27,Puducherry,128302,126167,1863,272
28,Punjab,602647,585838,16567,242
29,Rajasthan,954471,945473,8954,44
30,Sikkim,32074,31550,400,124
31,Tamil Nadu,2711584,2665178,36247,10159
32,Telangana,672987,665272,3969,3746
33,Tripura,84635,83685,816,134
34,Uttarakhand,343974,336430,7402,142
35,Uttar Pradesh,1710236,1687240,22904,92
36,West Bengal,1600732,1573520,19267,7945
