ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10636,10502,129,5
2,Andhra Pradesh,2337917,2322900,14733,284
3,Arunachal Pradesh,66815,66487,296,32
4,Assam,745351,734612,8034,2705
5,Bihar,850085,837385,12300,400
6,Chandigarh,99147,97881,1181,85
7,Chhattisgarh,1175544,1160807,14124,613
8,Dadra and Nagar Haveli and Daman and Diu,11585,11578,4,3
9,Delhi,2002491,1975541,26499,451
10,Goa,257614,253205,3965,444
11,Gujarat,1273505,1261306,11028,1171
12,Haryana,1054381,1043277,10699,405
13,Himachal Pradesh,311944,307509,4208,227
14,Jammu and Kashmir,478947,473969,4784,194
15,Jharkhand,442237,436801,5330,106
16,Karnataka,4061716,4017872,40276,3568
17,Kerala,6787915,6701080,71004,15831
18,Ladakh,29310,29063,230,17
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054085,1043144,10771,170
21,Maharashtra,8115834,7963082,148312,4440
22,Manipur,139790,137610,2148,32
23,Meghalaya,96615,94952,1622,41
24,Mizoram,238123,237145,722,256
25,Nagaland,35947,35154,781,12
26,Odisha,1331918,1321344,9186,1388
27,Puducherry,173939,171441,1970,528
28,Punjab,781661,763453,17910,298
29,Rajasthan,1312390,1301599,9634,1157
30,Sikkim,44043,43444,495,104
31,Tamil Nadu,3577312,3534277,38040,4995
32,Telangana,836797,831941,4111,745
33,Tripura,107756,106810,938,8
34,Uttarakhand,449013,440175,7747,1091
35,Uttar Pradesh,2125528,2101156,23617,755
36,West Bengal,2111196,2087475,21490,2231
