ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10727,10590,129,8
2,Andhra Pradesh,2338709,2323835,14733,141
3,Arunachal Pradesh,66868,66567,296,5
4,Assam,745918,735176,8035,2707
5,Bihar,850950,838457,12302,191
6,Chandigarh,99274,98067,1181,26
7,Chhattisgarh,1177221,1162701,14139,381
8,Dadra and Nagar Haveli and Daman and Diu,11588,11583,4,1
9,Delhi,2005104,1978098,26506,500
10,Goa,258513,254410,3967,136
11,Gujarat,1276182,1264526,11038,618
12,Haryana,1055671,1044717,10710,244
13,Himachal Pradesh,312394,308128,4211,55
14,Jammu and Kashmir,479252,474432,4785,35
15,Jharkhand,442483,437091,5331,61
16,Karnataka,4067149,4023833,40294,3022
17,Kerala,6817777,6741873,71321,4583
18,Ladakh,29375,29133,231,11
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054591,1043704,10775,112
21,Maharashtra,8128258,7977096,148374,2788
22,Manipur,139853,137680,2149,24
23,Meghalaya,96740,95092,1622,26
24,Mizoram,238694,237928,723,43
25,Nagaland,35969,35186,781,2
26,Odisha,1335562,1325873,9202,487
27,Puducherry,175095,172946,1974,175
28,Punjab,782366,764333,17918,115
29,Rajasthan,1313850,1303896,9644,310
30,Sikkim,44259,43738,498,23
31,Tamil Nadu,3589537,3547463,38048,4026
32,Telangana,839250,834585,4111,554
33,Tripura,107940,106901,939,100
34,Uttarakhand,449042,441234,7751,57
35,Uttar Pradesh,2127002,2102981,23625,396
36,West Bengal,2117206,2094269,21524,1413
