ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7670,7534,129,7
2,Andhra Pradesh,2069770,2052230,14412,3128
3,Arunachal Pradesh,55216,54894,280,42
4,Assam,613784,604465,6047,3272
5,Bihar,726153,716462,9662,29
6,Chandigarh,65380,64536,820,24
7,Chhattisgarh,1006326,992508,13588,230
8,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,0
9,Delhi,1440388,1414934,25093,361
10,Goa,178467,174830,3374,263
11,Gujarat,826924,816608,10090,226
12,Haryana,771420,761230,10050,140
13,Himachal Pradesh,225712,220800,3812,1100
14,Jammu and Kashmir,334006,328108,4448,1450
15,Jharkhand,348992,343713,5138,141
16,Karnataka,2991614,2945415,38143,8056
17,Kerala,5055224,4950281,35685,69258
18,Ladakh,21148,20783,211,154
19,Lakshadweep,10365,10314,51,0
20,Madhya Pradesh,792956,782357,10524,75
21,Maharashtra,6623344,6466913,140565,15866
22,Manipur,124432,121687,1946,799
23,Meghalaya,84013,82274,1462,277
24,Mizoram,128604,122494,459,5651
25,Nagaland,31978,31123,692,163
26,Odisha,1045209,1034300,8375,2534
27,Puducherry,128401,126263,1863,275
28,Punjab,602778,585889,16571,318
29,Rajasthan,954503,945478,8954,71
30,Sikkim,32096,31575,400,121
31,Tamil Nadu,2714025,2668001,36273,9751
32,Telangana,673469,665755,3973,3741
33,Tripura,84665,83732,817,116
34,Uttarakhand,344014,336453,7403,158
35,Uttar Pradesh,1710261,1687262,22909,90
36,West Bengal,1603318,1575980,19307,8031
