ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7539,7403,129,7
2,Andhra Pradesh,1968462,1934048,13395,21019
3,Arunachal Pradesh,48260,44354,231,3675
4,Assam,566982,549065,5275,12642
5,Bihar,724880,714801,9644,435
6,Chandigarh,61954,61113,811,30
7,Chhattisgarh,1002222,986778,13525,1919
8,Dadra and Nagar Haveli and Daman and Diu,10650,10622,4,24
9,Delhi,1436350,1410714,25054,582
10,Goa,171205,167046,3148,1011
11,Gujarat,824900,814570,10076,254
12,Haryana,769942,759589,9638,715
13,Himachal Pradesh,206161,201411,3521,1229
14,Jammu and Kashmir,321607,316017,4379,1211
15,Jharkhand,347200,341817,5129,254
16,Karnataka,2906999,2846244,36587,24168
17,Kerala,3411489,3226761,16837,167891
18,Ladakh,20340,20076,207,57
19,Lakshadweep,10195,10070,50,75
20,Madhya Pradesh,791845,781207,10513,125
21,Maharashtra,6310194,6094896,132948,82350
22,Manipur,99331,87360,1566,10405
23,Meghalaya,65589,58450,1096,6043
24,Mizoram,39363,27024,150,12189
25,Nagaland,27945,26031,570,1344
26,Odisha,978705,958601,5966,14138
27,Puducherry,121005,118228,1795,982
28,Punjab,599130,582332,16294,504
29,Rajasthan,953688,944484,8954,250
30,Sikkim,26754,22955,345,3454
31,Tamil Nadu,2561587,2506961,34102,20524
32,Telangana,645406,632728,3805,8873
33,Tripura,78722,74875,755,3092
34,Uttarakhand,342161,334190,7362,609
35,Uttar Pradesh,1708476,1685049,22763,664
36,West Bengal,1528720,1499597,18149,10974
