ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10751,10622,129,0
2,Andhra Pradesh,2339387,2324516,14733,138
3,Arunachal Pradesh,66892,66595,296,1
4,Assam,746105,738068,8035,2
5,Bihar,851608,839194,12304,110
6,Chandigarh,99668,98330,1184,154
7,Chhattisgarh,1178358,1163766,14150,442
8,Dadra and Nagar Haveli and Daman and Diu,11592,11587,4,1
9,Delhi,2013938,1985170,26536,2232
10,Goa,260837,256036,4014,787
11,Gujarat,1284696,1271580,11060,2056
12,Haryana,1059719,1047443,10717,1559
13,Himachal Pradesh,316453,310425,4221,1807
14,Jammu and Kashmir,480109,474973,4787,349
15,Jharkhand,442684,437295,5332,57
16,Karnataka,4079579,4037506,40330,1743
17,Kerala,6848060,6764839,71647,11574
18,Ladakh,29497,29230,231,36
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1055315,1044337,10777,201
21,Maharashtra,8149141,7996323,148458,4360
22,Manipur,139933,137776,2149,8
23,Meghalaya,96797,95168,1625,4
24,Mizoram,238970,238243,726,1
25,Nagaland,35989,35206,782,1
26,Odisha,1337502,1327740,9206,556
27,Puducherry,176287,174106,1977,204
28,Punjab,785677,765759,19295,623
29,Rajasthan,1316612,1306450,9666,496
30,Sikkim,44404,43855,500,49
31,Tamil Nadu,3598649,3558896,38050,1703
32,Telangana,842685,838411,4111,163
33,Tripura,108034,107094,940,0
34,Uttarakhand,449885,442009,7757,119
35,Uttar Pradesh,2130171,2105495,23651,1025
36,West Bengal,2119217,2097431,21533,253
