ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7633,7494,129,10
2,Andhra Pradesh,2057252,2035054,14254,7944
3,Arunachal Pradesh,54900,54354,280,266
4,Assam,604969,595091,5926,3952
5,Bihar,725996,716300,9661,35
6,Chandigarh,65279,64421,820,38
7,Chhattisgarh,1005530,991755,13570,205
8,Dadra and Nagar Haveli and Daman and Diu,10672,10666,4,2
9,Delhi,1439195,1413759,25089,347
10,Goa,177113,173074,3329,710
11,Gujarat,826141,815872,10086,183
12,Haryana,770993,760845,9875,273
13,Himachal Pradesh,220479,215430,3704,1345
14,Jammu and Kashmir,330533,325016,4426,1091
15,Jharkhand,348352,343109,5135,108
16,Karnataka,2981027,2932959,37885,10183
17,Kerala,4794800,4656866,26258,111676
18,Ladakh,20852,20592,208,52
19,Lakshadweep,10365,10311,51,3
20,Madhya Pradesh,792621,781995,10523,103
21,Maharashtra,6577872,6401287,139542,37043
22,Manipur,122003,118389,1885,1729
23,Meghalaya,82423,79850,1421,1152
24,Mizoram,106136,91485,356,14295
25,Nagaland,31449,30519,671,259
26,Odisha,1031696,1018749,8249,4698
27,Puducherry,127053,124549,1846,658
28,Punjab,601876,585111,16531,234
29,Rajasthan,954359,945368,8954,37
30,Sikkim,31667,31011,388,268
31,Tamil Nadu,2678265,2626352,35783,16130
32,Telangana,667887,659722,3930,4235
33,Tripura,84260,83323,816,121
34,Uttarakhand,343668,336100,7396,172
35,Uttar Pradesh,1709954,1686917,22896,141
36,West Bengal,1576337,1549783,18905,7649
