ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7694,7559,129,6
2,Andhra Pradesh,2074410,2057913,14460,2037
3,Arunachal Pradesh,55299,54989,280,30
4,Assam,618188,609516,6129,2543
5,Bihar,726276,714136,12090,50
6,Chandigarh,65616,64477,1076,63
7,Chhattisgarh,1007115,993169,13594,352
8,Dadra and Nagar Haveli and Daman and Diu,10684,10679,4,1
9,Delhi,1441569,1416083,25100,386
10,Goa,179338,175408,3482,448
11,Gujarat,827943,817389,10095,459
12,Haryana,771939,761648,10055,236
13,Himachal Pradesh,227805,223274,3859,672
14,Jammu and Kashmir,338390,332205,4489,1696
15,Jharkhand,349392,344121,5141,130
16,Karnataka,2999471,2953857,38253,7361
17,Kerala,5183061,5099620,42239,41202
18,Ladakh,21773,21321,215,237
19,Lakshadweep,10405,10343,51,11
20,Madhya Pradesh,793307,782628,10529,150
21,Maharashtra,6641677,6490305,141211,10161
22,Manipur,125454,123130,1985,339
23,Meghalaya,84643,82949,1476,218
24,Mizoram,137705,134095,511,3099
25,Nagaland,32143,31334,699,110
26,Odisha,1050955,1040403,8428,2124
27,Puducherry,129156,127038,1877,241
28,Punjab,603638,586644,16616,378
29,Rajasthan,955022,945806,8956,260
30,Sikkim,32396,31789,405,202
31,Tamil Nadu,2733346,2688888,36575,7883
32,Telangana,677747,669857,4003,3887
33,Tripura,84898,83974,826,98
34,Uttarakhand,344411,336826,7411,174
35,Uttar Pradesh,1710508,1687463,22911,134
36,West Bengal,1621370,1594230,19575,7565
