ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7674,7539,129,6
2,Andhra Pradesh,2070516,2053480,14421,2615
3,Arunachal Pradesh,55232,54904,280,48
4,Assam,614663,605408,6061,3194
5,Bihar,726162,716473,9662,27
6,Chandigarh,65391,64542,820,29
7,Chhattisgarh,1006433,992585,13590,258
8,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,0
9,Delhi,1440528,1415087,25095,346
10,Goa,178569,174934,3376,259
11,Gujarat,827068,816687,10090,291
12,Haryana,771481,761283,10051,147
13,Himachal Pradesh,226118,221102,3823,1193
14,Jammu and Kashmir,334600,328630,4457,1513
15,Jharkhand,349066,343792,5139,135
16,Karnataka,2992584,2946985,38161,7438
17,Kerala,5077984,4977126,36475,64383
18,Ladakh,21252,20835,211,206
19,Lakshadweep,10366,10314,51,1
20,Madhya Pradesh,792986,782384,10525,77
21,Maharashtra,6626875,6470791,140668,15416
22,Manipur,124639,122132,1955,552
23,Meghalaya,84117,82386,1465,266
24,Mizoram,130415,124332,467,5616
25,Nagaland,32024,31185,695,144
26,Odisha,1046088,1035262,8383,2443
27,Puducherry,128520,126336,1867,317
28,Punjab,602870,585986,16575,309
29,Rajasthan,954550,945513,8954,83
30,Sikkim,32120,31608,401,111
31,Tamil Nadu,2717203,2671668,36324,9211
32,Telangana,674037,666348,3977,3712
33,Tripura,84692,83778,817,97
34,Uttarakhand,344062,336485,7404,173
35,Uttar Pradesh,1710294,1687290,22909,95
36,West Bengal,1606656,1579264,19341,8051
