ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10015,9868,129,18
2,Andhra Pradesh,2317184,2297537,14720,4927
3,Arunachal Pradesh,64386,63869,296,221
4,Assam,724070,715767,6637,1666
5,Bihar,829904,817269,12255,380
6,Chandigarh,91665,90325,1164,176
7,Chhattisgarh,1150323,1134239,14023,2061
8,Dadra and Nagar Haveli and Daman and Diu,11438,11431,4,3
9,Delhi,1858154,1829763,26115,2276
10,Goa,244906,240701,3798,407
11,Gujarat,1221874,1208013,10919,2942
12,Haryana,980360,967313,10547,2500
13,Himachal Pradesh,282924,277340,4113,1471
14,Jammu and Kashmir,452722,446887,4748,1087
15,Jharkhand,434219,428351,5315,553
16,Karnataka,3939287,3891110,39885,8292
17,Kerala,6487837,6380561,64803,42473
18,Ladakh,27947,27471,228,248
19,Lakshadweep,11397,11323,52,22
20,Madhya Pradesh,1037166,1021272,10724,5170
21,Maharashtra,7862650,7704733,143675,14242
22,Manipur,136654,133986,2105,563
23,Meghalaya,93387,91593,1573,221
24,Mizoram,211310,202249,652,8409
25,Nagaland,35390,34484,754,152
26,Odisha,1283978,1271843,9045,3090
27,Puducherry,165676,163489,1960,227
28,Punjab,757739,739146,17694,899
29,Rajasthan,1277702,1261571,9535,6596
30,Sikkim,39051,38528,442,81
31,Tamil Nadu,3447581,3400144,37997,9440
32,Telangana,788096,779893,4111,4092
33,Tripura,100858,99894,919,45
34,Uttarakhand,435820,425785,7678,2357
35,Uttar Pradesh,2066368,2038156,23446,4766
36,West Bengal,2014307,1990980,21165,2162
