ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10693,10540,129,24
2,Andhra Pradesh,2338377,2323446,14733,198
3,Arunachal Pradesh,66850,66541,296,13
4,Assam,745654,734909,8035,2710
5,Bihar,850590,838109,12302,179
6,Chandigarh,99211,98007,1181,23
7,Chhattisgarh,1176447,1161929,14135,383
8,Dadra and Nagar Haveli and Daman and Diu,11587,11582,4,1
9,Delhi,2003576,1976717,26503,356
10,Goa,258153,253979,3966,208
11,Gujarat,1274989,1263175,11035,779
12,Haryana,1055040,1044103,10706,231
13,Himachal Pradesh,312233,307924,4210,99
14,Jammu and Kashmir,479174,474275,4785,114
15,Jharkhand,442373,436983,5330,60
16,Karnataka,4065100,4022022,40285,2793
17,Kerala,6808617,6728689,71200,8728
18,Ladakh,29342,29097,231,14
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054356,1043473,10771,112
21,Maharashtra,8122432,7971346,148347,2739
22,Manipur,139816,137658,2149,9
23,Meghalaya,96704,95044,1622,38
24,Mizoram,238462,237651,723,88
25,Nagaland,35961,35174,781,6
26,Odisha,1334434,1324230,9197,1007
27,Puducherry,174685,172463,1974,248
28,Punjab,782047,763976,17916,155
29,Rajasthan,1313271,1303294,9641,336
30,Sikkim,44195,43644,498,53
31,Tamil Nadu,3584563,3541177,38047,5339
32,Telangana,838108,833388,4111,609
33,Tripura,107803,106840,939,24
34,Uttarakhand,449226,440489,7751,986
35,Uttar Pradesh,2126348,2102247,23622,479
36,West Bengal,2115045,2090668,21509,2868
