ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10764,10631,129,4
2,Andhra Pradesh,2340039,2324867,14733,439
3,Arunachal Pradesh,66902,66597,296,9
4,Assam,746115,738070,8035,10
5,Bihar,852575,839604,12305,666
6,Chandigarh,100081,98620,1184,277
7,Chhattisgarh,1181883,1164945,14162,2776
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2027548,1994924,26578,6046
10,Goa,261789,257261,4014,514
11,Gujarat,1288121,1274958,11072,2091
12,Haryana,1068077,1052462,10724,4891
13,Himachal Pradesh,319734,313829,4233,1672
14,Jammu and Kashmir,481120,475692,4789,639
15,Jharkhand,443010,437413,5333,264
16,Karnataka,4083122,4040819,40341,1962
17,Kerala,6875656,6784540,71718,19398
18,Ladakh,29543,29286,231,26
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1055797,1044686,10780,331
21,Maharashtra,8158393,8003802,148489,6102
22,Manipur,139947,137791,2149,7
23,Meghalaya,96820,95183,1625,12
24,Mizoram,238980,238243,726,11
25,Nagaland,35995,35210,782,3
26,Odisha,1340228,1328843,9208,2177
27,Puducherry,177094,174614,1980,500
28,Punjab,788161,767090,19304,1767
29,Rajasthan,1320565,1307678,9686,3201
30,Sikkim,44520,43945,500,75
31,Tamil Nadu,3603805,3562183,38059,3563
32,Telangana,843105,838702,4111,292
33,Tripura,108049,107094,940,15
34,Uttarakhand,450950,442820,7761,369
35,Uttar Pradesh,2136380,2108419,23663,4298
36,West Bengal,2120117,2097704,21534,879
