ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7531,7395,129,7
2,Andhra Pradesh,1959942,1925631,13312,20999
3,Arunachal Pradesh,47142,42617,224,4301
4,Assam,562731,543031,5201,14499
5,Bihar,724673,714554,9639,480
6,Chandigarh,61943,61098,809,36
7,Chhattisgarh,1001651,985905,13520,2226
8,Dadra and Nagar Haveli and Daman and Diu,10642,10597,4,41
9,Delhi,1436093,1410471,25049,573
10,Goa,170810,166586,3142,1082
11,Gujarat,824802,814452,10076,274
12,Haryana,769828,759499,9627,702
13,Himachal Pradesh,205499,201026,3520,953
14,Jammu and Kashmir,321026,315511,4376,1139
15,Jharkhand,347049,341686,5126,237
16,Karnataka,2899195,2840147,36456,22592
17,Kerala,3327301,3160804,16457,150040
18,Ladakh,20320,20049,207,64
19,Lakshadweep,10155,10029,50,76
20,Madhya Pradesh,791778,781135,10513,130
21,Maharashtra,6282914,6064856,132145,85913
22,Manipur,95824,83392,1510,10922
23,Meghalaya,63014,56510,1048,5456
24,Mizoram,36407,24657,140,11610
25,Nagaland,27586,25684,552,1350
26,Odisha,972517,951049,5703,15765
27,Puducherry,120627,117912,1792,923
28,Punjab,598947,582102,16286,559
29,Rajasthan,953605,944384,8953,268
30,Sikkim,25856,22406,333,3117
31,Tamil Nadu,2553805,2498289,33995,21521
32,Telangana,643093,629986,3793,9314
33,Tripura,77788,73177,750,3861
34,Uttarakhand,341934,333901,7361,672
35,Uttar Pradesh,1708313,1684790,22755,768
36,West Bengal,1525773,1496294,18109,11370
