ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7154,6935,125,94
2,Andhra Pradesh,1771007,1651790,11629,107588
3,Arunachal Pradesh,30000,26569,126,3305
4,Assam,442694,388451,3738,50505
5,Bihar,714590,701234,5458,7898
6,Chandigarh,60778,59314,779,685
7,Chhattisgarh,982962,950234,13257,19471
8,Dadra and Nagar Haveli and Daman and Diu,10427,10262,4,161
9,Delhi,1429791,1400161,24668,4962
10,Goa,160284,151526,2859,5899
11,Gujarat,817707,793028,9955,14724
12,Haryana,763566,747246,8789,7531
13,Himachal Pradesh,196351,186040,3328,6983
14,Jammu and Kashmir,302651,276733,4101,21817
15,Jharkhand,342179,332007,5073,5099
16,Karnataka,2717289,2460165,32099,225025
17,Kerala,2657962,2504011,10281,143670
18,Ladakh,19330,18194,195,941
19,Lakshadweep,8874,7942,42,890
20,Madhya Pradesh,786302,769914,8405,7983
21,Maharashtra,5852891,5580925,101172,170794
22,Manipur,56576,46527,908,9141
23,Meghalaya,39535,33933,678,4924
24,Mizoram,14196,10769,57,3370
25,Nagaland,23051,17943,432,4676
26,Odisha,825110,756641,3080,65389
27,Puducherry,110106,101315,1644,7147
28,Punjab,582081,548316,15219,18546
29,Rajasthan,947504,925161,8719,13624
30,Sikkim,17425,13132,275,4018
31,Tamil Nadu,2274704,2028344,27765,218595
32,Telangana,595000,567285,3409,24306
33,Tripura,56794,50440,577,5777
34,Uttarakhand,334965,316283,6797,11885
35,Uttar Pradesh,1699787,1664295,21425,14067
36,West Bengal,1437446,1401061,16460,19925
