ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7668,7528,129,11
2,Andhra Pradesh,2069352,2051747,14409,3196
3,Arunachal Pradesh,55208,54884,280,44
4,Assam,613312,604009,6042,3261
5,Bihar,726148,716452,9661,35
6,Chandigarh,65376,64533,820,23
7,Chhattisgarh,1006271,992468,13587,216
8,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,0
9,Delhi,1440270,1414812,25091,367
10,Goa,178422,174753,3371,298
11,Gujarat,826866,816542,10090,234
12,Haryana,771388,761208,10050,130
13,Himachal Pradesh,225464,220536,3800,1128
14,Jammu and Kashmir,333667,327908,4448,1311
15,Jharkhand,348960,343673,5138,149
16,Karnataka,2991142,2944958,38138,8046
17,Kerala,5042082,4936791,35040,70251
18,Ladakh,21098,20759,209,130
19,Lakshadweep,10365,10314,51,0
20,Madhya Pradesh,792936,782336,10524,76
21,Maharashtra,6621420,6464948,140475,15997
22,Manipur,124328,121626,1941,761
23,Meghalaya,83962,82227,1462,273
24,Mizoram,127548,121254,456,5838
25,Nagaland,31966,31102,692,172
26,Odisha,1044699,1033652,8370,2677
27,Puducherry,128332,126209,1863,260
28,Punjab,602695,585859,16570,266
29,Rajasthan,954475,945475,8954,46
30,Sikkim,32080,31554,400,126
31,Tamil Nadu,2712404,2666140,36251,10013
32,Telangana,673140,665432,3971,3737
33,Tripura,84644,83695,816,133
34,Uttarakhand,343987,336438,7403,146
35,Uttar Pradesh,1710243,1687247,22904,92
36,West Bengal,1601586,1574333,19280,7973
