ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7674,7534,129,11
2,Andhra Pradesh,2069978,2052477,14415,3086
3,Arunachal Pradesh,55220,54896,280,44
4,Assam,613913,604708,6049,3156
5,Bihar,726156,716468,9662,26
6,Chandigarh,65384,64537,820,27
7,Chhattisgarh,1006358,992533,13588,237
8,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,0
9,Delhi,1440424,1414981,25094,349
10,Goa,178485,174870,3374,241
11,Gujarat,826950,816630,10090,230
12,Haryana,771434,761235,10050,149
13,Himachal Pradesh,225768,220860,3815,1093
14,Jammu and Kashmir,334180,328215,4450,1515
15,Jharkhand,349006,343733,5138,135
16,Karnataka,2991850,2945679,38145,8026
17,Kerala,5061072,4957509,35750,67813
18,Ladakh,21176,20792,211,173
19,Lakshadweep,10365,10314,51,0
20,Madhya Pradesh,792969,782366,10524,79
21,Maharashtra,6624300,6467879,140583,15838
22,Manipur,124482,121738,1949,795
23,Meghalaya,84024,82299,1462,263
24,Mizoram,128775,122889,462,5424
25,Nagaland,31997,31138,692,167
26,Odisha,1045471,1034505,8377,2589
27,Puducherry,128444,126282,1865,297
28,Punjab,602795,585900,16572,323
29,Rajasthan,954519,945483,8954,82
30,Sikkim,32101,31581,400,120
31,Tamil Nadu,2714830,2668930,36284,9616
32,Telangana,673574,665861,3973,3740
33,Tripura,84671,83740,817,114
34,Uttarakhand,344043,336463,7403,177
35,Uttar Pradesh,1710273,1687265,22909,99
36,West Bengal,1604193,1576817,19314,8062
