ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10183,10014,129,40
2,Andhra Pradesh,2322245,2306282,14731,1232
3,Arunachal Pradesh,64528,64220,296,12
4,Assam,725110,716548,7988,574
5,Bihar,833390,820035,12260,1095
6,Chandigarh,94038,92387,1165,486
7,Chhattisgarh,1154727,1139668,14038,1021
8,Dadra and Nagar Haveli and Daman and Diu,11488,11466,4,18
9,Delhi,1937013,1907474,26271,3268
10,Goa,249095,244220,3838,1037
11,Gujarat,1233698,1219203,10947,3548
12,Haryana,1017209,1004110,10624,2475
13,Himachal Pradesh,286414,281601,4141,672
14,Jammu and Kashmir,455333,449999,4756,578
15,Jharkhand,436060,430396,5320,344
16,Karnataka,3972285,3925500,40119,6666
17,Kerala,6649950,6550377,70046,29527
18,Ladakh,28513,28135,228,150
19,Lakshadweep,11411,11356,52,3
20,Madhya Pradesh,1044711,1033277,10743,691
21,Maharashtra,7985296,7814871,147940,22485
22,Manipur,137297,135134,2120,43
23,Meghalaya,94016,92316,1594,106
24,Mizoram,229210,228226,705,279
25,Nagaland,35512,34746,761,5
26,Odisha,1290538,1280049,9126,1363
27,Puducherry,166823,164348,1962,513
28,Punjab,763397,744480,17778,1139
29,Rajasthan,1288768,1278254,9566,948
30,Sikkim,39254,38753,454,47
31,Tamil Nadu,3482775,3430245,38026,14504
32,Telangana,802379,793521,4111,4747
33,Tripura,100911,99976,923,12
34,Uttarakhand,438830,430349,7696,785
35,Uttar Pradesh,2091672,2065264,23540,2868
36,West Bengal,2034485,2002677,21225,10583
