ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7620,7482,129,9
2,Andhra Pradesh,2049314,2023496,14163,11655
3,Arunachal Pradesh,54572,53856,276,440
4,Assam,601787,591432,5868,4487
5,Bihar,725952,716237,9660,55
6,Chandigarh,65224,64363,819,42
7,Chhattisgarh,1005325,991475,13565,285
8,Dadra and Nagar Haveli and Daman and Diu,10670,10666,4,0
9,Delhi,1438821,1413342,25087,392
10,Goa,176318,172176,3312,830
11,Gujarat,825916,815678,10082,156
12,Haryana,770863,760711,9874,278
13,Himachal Pradesh,218898,213430,3675,1793
14,Jammu and Kashmir,329320,323510,4422,1388
15,Jharkhand,348215,343002,5135,78
16,Karnataka,2975067,2924693,37780,12594
17,Kerala,4664944,4495904,24965,144075
18,Ladakh,20795,20515,207,73
19,Lakshadweep,10361,10306,51,4
20,Madhya Pradesh,792519,781882,10522,115
21,Maharashtra,6547793,6368530,139011,40252
22,Manipur,120426,116365,1854,2207
23,Meghalaya,81161,78068,1400,1693
24,Mizoram,93660,76512,307,16841
25,Nagaland,31219,30189,665,365
26,Odisha,1025874,1012583,8192,5099
27,Puducherry,126308,123640,1840,828
28,Punjab,601600,584797,16513,290
29,Rajasthan,954322,945292,8954,76
30,Sikkim,31412,30425,387,600
31,Tamil Nadu,2662177,2609435,35550,17192
32,Telangana,665749,657213,3916,4620
33,Tripura,84127,83054,813,260
34,Uttarakhand,343530,335927,7394,209
35,Uttar Pradesh,1709800,1686749,22892,159
36,West Bengal,1568321,1541963,18778,7580
