ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10015,9862,129,24
2,Andhra Pradesh,2316964,2297065,14718,5181
3,Arunachal Pradesh,64372,63837,296,239
4,Assam,724038,715710,6637,1691
5,Bihar,829856,817169,12255,432
6,Chandigarh,91633,90290,1164,179
7,Chhattisgarh,1150090,1133779,14022,2289
8,Dadra and Nagar Haveli and Daman and Diu,11438,11431,4,3
9,Delhi,1857598,1829145,26109,2344
10,Goa,244861,240607,3797,457
11,Gujarat,1221581,1207284,10911,3386
12,Haryana,979863,966623,10539,2701
13,Himachal Pradesh,282728,277046,4112,1570
14,Jammu and Kashmir,452647,446534,4748,1365
15,Jharkhand,434157,428276,5315,566
16,Karnataka,3938699,3889418,39866,9415
17,Kerala,6483773,6371030,64591,48152
18,Ladakh,27928,27416,228,284
19,Lakshadweep,11397,11313,52,32
20,Madhya Pradesh,1036498,1020148,10721,5629
21,Maharashtra,7861468,7702217,143656,15595
22,Manipur,136598,133929,2104,565
23,Meghalaya,93371,91548,1573,250
24,Mizoram,210253,200867,650,8736
25,Nagaland,35381,34442,754,185
26,Odisha,1283639,1271018,9045,3576
27,Puducherry,165658,163437,1960,261
28,Punjab,757635,738952,17692,991
29,Rajasthan,1276758,1260458,9533,6767
30,Sikkim,39047,38513,441,93
31,Tamil Nadu,3447006,3398231,37993,10782
32,Telangana,787785,779279,4110,4396
33,Tripura,100856,99884,919,53
34,Uttarakhand,435650,425545,7676,2429
35,Uttar Pradesh,2065877,2037339,23445,5093
36,West Bengal,2014061,1990254,21159,2648
