ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7848,7614,129,105
2,Andhra Pradesh,2078923,2062157,14500,2266
3,Arunachal Pradesh,55436,55051,282,103
4,Assam,623332,613120,6176,4036
5,Bihar,732804,714920,12098,5786
6,Chandigarh,66824,64765,1080,979
7,Chhattisgarh,1014528,994017,13606,6905
8,Dadra and Nagar Haveli and Daman and Diu,10730,10688,4,38
9,Delhi,1489463,1432838,25127,31498
10,Goa,184766,176625,3528,4613
11,Gujarat,844856,820383,10127,14346
12,Haryana,781696,763694,10067,7935
13,Himachal Pradesh,230285,224750,3880,1655
14,Jammu and Kashmir,342768,336186,4533,2049
15,Jharkhand,365222,345814,5153,14255
16,Karnataka,3022603,2962043,38358,22202
17,Kerala,5268064,5193093,49116,25855
18,Ladakh,22370,21880,221,269
19,Lakshadweep,10420,10365,51,4
20,Madhya Pradesh,796396,783386,10535,2475
21,Maharashtra,6793297,6533154,141594,118549
22,Manipur,125964,123639,2009,316
23,Meghalaya,85021,83324,1485,212
24,Mizoram,143772,140200,554,3018
25,Nagaland,32247,31462,703,82
26,Odisha,1059773,1045718,8467,5588
27,Puducherry,129821,127541,1881,399
28,Punjab,611102,587753,16662,6687
29,Rajasthan,963109,946874,8967,7268
30,Sikkim,32570,32075,409,86
31,Tamil Nadu,2767432,2707779,36825,22828
32,Telangana,687456,675573,4036,7847
33,Tripura,85400,84212,829,359
34,Uttarakhand,347098,338250,7423,1425
35,Uttar Pradesh,1719246,1688105,22917,8224
36,West Bengal,1693744,1632797,19846,41101
