ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,8538,7938,129,471
2,Andhra Pradesh,2096755,2063934,14508,18313
3,Arunachal Pradesh,56227,55108,282,837
4,Assam,640636,617825,6197,16614
5,Bihar,775392,729184,12123,34085
6,Chandigarh,74475,66132,1086,7257
7,Chhattisgarh,1050228,1005727,13639,30862
8,Dadra and Nagar Haveli and Daman and Diu,10911,10731,4,176
9,Delhi,1670966,1553388,25305,92273
10,Goa,203969,181826,3546,18597
11,Gujarat,906913,840971,10144,55798
12,Haryana,828948,777414,10091,41443
13,Himachal Pradesh,240330,226912,3889,9529
14,Jammu and Kashmir,352623,338063,4557,10003
15,Jharkhand,399275,360894,5192,33189
16,Karnataka,3153247,2973470,38411,141366
17,Kerala,5342953,5214862,50568,77523
18,Ladakh,23079,22188,222,669
19,Lakshadweep,10457,10369,51,37
20,Madhya Pradesh,819228,787298,10543,21387
21,Maharashtra,7124278,6717125,141756,265397
22,Manipur,126821,123865,2012,944
23,Meghalaya,85985,83597,1490,898
24,Mizoram,151380,142287,568,8525
25,Nagaland,32775,31701,703,371
26,Odisha,1111879,1052395,8476,51008
27,Puducherry,135337,127795,1884,5658
28,Punjab,649736,598702,16731,34303
29,Rajasthan,1018314,956550,8991,52773
30,Sikkim,34030,32202,411,1417
31,Tamil Nadu,2891959,2736986,36956,118017
32,Telangana,705199,679471,4052,21676
33,Tripura,89767,84800,835,4132
34,Uttarakhand,363424,343637,7438,12349
35,Uttar Pradesh,1801231,1693842,22949,84440
36,West Bengal,1863697,1698201,20013,145483
