ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10611,10466,129,16
2,Andhra Pradesh,2337085,2321753,14733,599
3,Arunachal Pradesh,66705,66350,296,59
4,Assam,744618,733748,8032,2838
5,Bihar,848531,835470,12295,766
6,Chandigarh,98878,97464,1181,233
7,Chhattisgarh,1173973,1159064,14113,796
8,Dadra and Nagar Haveli and Daman and Diu,11578,11570,4,4
9,Delhi,2000187,1972256,26474,1457
10,Goa,256300,251749,3963,588
11,Gujarat,1270639,1258155,11014,1470
12,Haryana,1052570,1040700,10685,1185
13,Himachal Pradesh,311191,306268,4202,721
14,Jammu and Kashmir,478083,472262,4782,1039
15,Jharkhand,442012,436541,5330,141
16,Karnataka,4053205,4007910,40244,5051
17,Kerala,6758702,6678212,70845,9645
18,Ladakh,29235,28964,230,41
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1053552,1042420,10770,362
21,Maharashtra,8102377,7944923,148257,9197
22,Manipur,139724,137513,2147,64
23,Meghalaya,96471,94766,1618,87
24,Mizoram,237324,236074,722,528
25,Nagaland,35924,35126,777,21
26,Odisha,1328070,1317278,9178,1614
27,Puducherry,172934,170672,1969,293
28,Punjab,780689,761939,17901,849
29,Rajasthan,1309375,1297416,9628,2331
30,Sikkim,43765,43155,490,120
31,Tamil Nadu,3569624,3526532,38036,5056
32,Telangana,834814,829410,4111,1293
33,Tripura,107733,106768,938,27
34,Uttarakhand,448433,439402,7740,1291
35,Uttar Pradesh,2123307,2097673,23609,2025
36,West Bengal,2107514,2083684,21470,2360
