ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10239,10069,129,41
2,Andhra Pradesh,2324260,2307519,14733,2008
3,Arunachal Pradesh,64683,64227,296,160
4,Assam,726541,716943,7991,1607
5,Bihar,835793,821427,12262,2104
6,Chandigarh,94409,92873,1165,371
7,Chhattisgarh,1156159,1140650,14043,1466
8,Dadra and Nagar Haveli and Daman and Diu,11497,11485,4,8
9,Delhi,1940735,1912305,26284,2146
10,Goa,249934,245246,3843,845
11,Gujarat,1237921,1222844,10948,4129
12,Haryana,1019732,1007158,10628,1946
13,Himachal Pradesh,287535,282253,4143,1139
14,Jammu and Kashmir,456041,450527,4758,756
15,Jharkhand,436711,430764,5322,625
16,Karnataka,3979021,3932000,40123,6898
17,Kerala,6673029,6575236,70150,27643
18,Ladakh,28570,28285,228,57
19,Lakshadweep,11412,11359,52,1
20,Madhya Pradesh,1045532,1033980,10745,807
21,Maharashtra,8004024,7837679,147976,18369
22,Manipur,137439,135175,2120,144
23,Meghalaya,94117,92422,1595,100
24,Mizoram,229864,228502,706,656
25,Nagaland,35546,34749,762,35
26,Odisha,1293504,1281537,9126,2841
27,Puducherry,167660,164867,1962,831
28,Punjab,764664,745681,17784,1199
29,Rajasthan,1289710,1279014,9570,1126
30,Sikkim,39430,38811,457,162
31,Tamil Nadu,3501529,3444682,38028,18819
32,Telangana,806124,796833,4111,5180
33,Tripura,101042,99997,923,122
34,Uttarakhand,439184,430660,7697,827
35,Uttar Pradesh,2094027,2068199,23547,2281
36,West Bengal,2051711,2007204,21243,23264
