ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7269,7034,126,109
2,Andhra Pradesh,1814393,1722381,11999,80013
3,Arunachal Pradesh,31648,28608,151,2889
4,Assam,463175,418472,3994,40709
5,Bihar,717539,703262,9505,4772
6,Chandigarh,61160,59859,794,507
7,Chhattisgarh,987563,961569,13334,12660
8,Dadra and Nagar Haveli and Daman and Diu,10464,10401,4,59
9,Delhi,1431270,1403205,24839,3226
10,Goa,162721,155378,2937,4406
11,Gujarat,820726,801181,10003,9542
12,Haryana,766129,753020,9032,4077
13,Himachal Pradesh,198876,191046,3398,4432
14,Jammu and Kashmir,308011,290284,4195,13532
15,Jharkhand,343609,335462,5085,3062
16,Karnataka,2771969,2566774,33033,172162
17,Kerala,2735958,2610368,11342,114248
18,Ladakh,19611,18841,198,572
19,Lakshadweep,9236,8672,44,520
20,Madhya Pradesh,788425,775896,8588,3941
21,Maharashtra,5917121,5654003,112696,150422
22,Manipur,60311,50878,990,8443
23,Meghalaya,42309,37037,743,4529
24,Mizoram,15631,11879,70,3682
25,Nagaland,23753,20096,456,3201
26,Odisha,856121,804981,3346,47794
27,Puducherry,112837,106199,1691,4947
28,Punjab,588525,561010,15602,11913
29,Rajasthan,949961,934652,8842,6467
30,Sikkim,18450,14863,281,3306
31,Tamil Nadu,2366493,2199808,29801,136884
32,Telangana,604880,580923,3496,20461
33,Tripura,59849,54274,624,4951
34,Uttarakhand,337175,326307,6960,3908
35,Uttar Pradesh,1702937,1672968,21858,8111
36,West Bengal,1464776,1428881,16974,18921
