ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10035,9905,129,1
2,Andhra Pradesh,2319659,2304896,14730,33
3,Arunachal Pradesh,64495,64199,296,0
4,Assam,724205,716212,6639,1354
5,Bihar,830522,818249,12256,17
6,Chandigarh,91989,90796,1165,28
7,Chhattisgarh,1152233,1138183,14034,16
8,Dadra and Nagar Haveli and Daman and Diu,11441,11437,4,0
9,Delhi,1873793,1843922,26166,3705
10,Goa,245379,241525,3832,22
11,Gujarat,1224233,1213187,10943,103
12,Haryana,988875,976565,10618,1692
13,Himachal Pradesh,284751,280542,4134,75
14,Jammu and Kashmir,453978,449177,4751,50
15,Jharkhand,435204,429865,5317,22
16,Karnataka,3946874,3905096,40057,1721
17,Kerala,6539151,6467674,68819,2658
18,Ladakh,28243,28011,228,4
19,Lakshadweep,11402,11350,52,0
20,Madhya Pradesh,1041313,1030509,10735,69
21,Maharashtra,7876697,7727996,147832,869
22,Manipur,137210,135063,2120,27
23,Meghalaya,93794,92195,1593,6
24,Mizoram,226779,225423,694,662
25,Nagaland,35488,34727,760,1
26,Odisha,1287980,1278729,9124,127
27,Puducherry,165777,163815,1962,0
28,Punjab,759401,741504,17744,153
29,Rajasthan,1283317,1273622,9552,143
30,Sikkim,39149,38695,452,2
31,Tamil Nadu,3453500,3415165,38025,310
32,Telangana,791772,787450,4111,211
33,Tripura,100879,99956,922,1
34,Uttarakhand,437376,429260,7693,423
35,Uttar Pradesh,2072680,2048055,23503,1122
36,West Bengal,2017971,1996524,21201,246
