ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7493,7355,129,9
2,Andhra Pradesh,1924421,1884202,13024,27195
3,Arunachal Pradesh,40383,36274,191,3918
4,Assam,536238,510432,4865,20941
5,Bihar,723355,712947,9619,789
6,Chandigarh,61841,60939,809,93
7,Chhattisgarh,998270,980275,13478,4517
8,Dadra and Nagar Haveli and Daman and Diu,10588,10563,4,21
9,Delhi,1435128,1409417,25018,693
10,Goa,168824,163957,3097,1770
11,Gujarat,824274,813399,10074,801
12,Haryana,769307,758849,9556,902
13,Himachal Pradesh,203719,199020,3492,1207
14,Jammu and Kashmir,318848,311782,4357,2709
15,Jharkhand,346371,340862,5119,390
16,Karnataka,2872684,2801907,35896,34881
17,Kerala,3073134,2946870,14686,111578
18,Ladakh,20204,19894,206,104
19,Lakshadweep,10020,9851,49,120
20,Madhya Pradesh,791656,780735,10506,415
21,Maharashtra,6165402,5927756,126024,111622
22,Manipur,78621,69814,1287,7520
23,Meghalaya,54853,49830,913,4110
24,Mizoram,24702,19803,112,4787
25,Nagaland,26052,24582,511,959
26,Odisha,941745,915400,4662,21683
27,Puducherry,119057,115873,1771,1413
28,Punjab,597714,580027,16193,1494
29,Rajasthan,953159,943553,8945,661
30,Sikkim,22397,19855,317,2225
31,Tamil Nadu,2521438,2456165,33454,31819
32,Telangana,632379,618496,3735,10148
33,Tripura,71315,66353,717,4245
34,Uttarakhand,341230,332957,7341,932
35,Uttar Pradesh,1707446,1683170,22700,1576
36,West Bengal,1513014,1480556,17927,14531
