ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,99085,14921,114006
2,Andhra Pradesh,5337775,2175256,7513031
3,Arunachal Pradesh,217451,77805,295256
4,Assam,2648044,730261,3378305
5,Bihar,7148062,1676244,8824306
6,Chandigarh,206540,73676,280216
7,Chhattisgarh,4983782,1078265,6062047
8,Dadra and Nagar Haveli and Daman and Diu,93571,25866,119437
9,Delhi,3523829,1057950,4581779
10,Goa,342573,94247,436820
11,Gujarat,11040205,3823346,14863551
12,Haryana,3946312,910016,4856328
13,Himachal Pradesh,1748284,432715,2180999
14,Jammu and Kashmir,2283447,532105,2815552
15,Jharkhand,2881446,663509,3544955
16,Karnataka,8691217,2500492,11191709
17,Kerala,6418962,1996495,8415457
18,Ladakh,86271,37249,123520
19,Lakshadweep,20588,6494,27082
20,Madhya Pradesh,7394957,1688763,9083720
21,Maharashtra,15512475,4220839,19733314
22,Manipur,306746,69699,376445
23,Meghalaya,327661,74047,401708
24,Mizoram,238215,50900,289115
25,Nagaland,181266,51728,232994
26,Odisha,5176084,1402985,6579069
27,Puducherry,180976,50429,231405
28,Punjab,3445447,702784,4148231
29,Rajasthan,12128406,2978191,15106597
30,Sikkim,165261,59585,224846
31,Tamil Nadu,5043505,1898439,6941944
32,Telangana,4385414,1062391,5447805
33,Tripura,942167,504009,1446176
34,Uttarakhand,1941293,680073,2621366
35,Uttar Pradesh,11509435,3257469,14766904
36,West Bengal,8850282,3716314,12566596
37,Miscellaneous,1700736,1403133,3103869
